币种,ARIMA_MAE,ARIMA_MSE,ARIMA_RMSE,Holt_MAE,Holt_MSE,Holt_RMSE,RandomForest_MAE,RandomForest_MSE,RandomForest_RMSE
丹麦克朗,3.8156,23.8087,4.8794,3.8505,20.5651,4.5349,0.4298,0.3866,0.6218
兰特,10.295,160.2534,12.6591,20.9971,580.8076,24.0999,1.5538,4.0376,2.0094
兹罗提,6.4592,48.9061,6.9933,4.2171,21.3313,4.6186,0.7558,1.0724,1.0356
加元,9.6537,135.1303,11.6246,81.3655,7747.0656,88.0174,1.4125,3.2653,1.807
卢布,127.4692,31256.3921,176.7948,217.1573,58139.3324,241.121,17.1557,924.2795,30.402
挪威克朗,4.3429,26.308,5.1291,5.2096,43.2368,6.5755,0.7838,0.9887,0.9944
新加坡元,41.694,1972.7241,44.4154,6.1156,50.995,7.1411,4.577,54.8368,7.4052
新西兰元,9.8311,144.9202,12.0383,52.6512,3539.9209,59.4972,2.0144,6.9778,2.6415
日元,0.5846,0.5261,0.7253,0.9867,1.342,1.1584,0.0908,0.0227,0.1508
林吉特,2.0447,7.2516,2.6929,3.6817,21.8186,4.671,0.1873,0.073,0.2703
欧元,30.9933,1661.6776,40.7637,90.2218,13251.2785,115.1142,2.6782,12.2909,3.5058
比索,14.7327,304.2143,17.4417,49.3681,2877.13,53.6389,1.5378,4.25,2.0615
泰铢,19.8471,506.8335,22.513,46.3668,2513.1799,50.1316,1.5396,4.34,2.0833
港元,3.5818,16.5778,4.0716,17.73,397.5621,19.939,0.2215,0.0803,0.2834
澳元,8.7348,115.9153,10.7664,97.4524,11989.4641,109.4964,2.0855,7.7435,2.7827
澳门元,0.6333,0.4898,0.6998,1.5727,2.8483,1.6877,0.0861,0.0135,0.1163
瑞典克朗,7.0497,92.2875,9.6066,5.4025,49.8915,7.0634,0.6689,0.7115,0.8435
瑞士法郎,75.3647,7513.4626,86.6802,46.7921,2726.9399,52.2201,22.8847,1212.8237,34.8256
福林,177.8653,51410.2827,226.7384,460.2929,384771.0157,620.2991,24.5959,1037.7209,32.2137
美元,29.6456,1104.2492,33.2302,100.3103,12502.5253,111.8147,1.8223,5.7128,2.3902
英镑,33.14,1782.6138,42.221,59.2635,4605.1546,67.8613,5.3501,75.0314,8.6621
迪拉姆,2.0894,4.7156,2.1715,0.4625,0.3373,0.5807,0.0842,0.0134,0.1157
里亚尔,2.2406,5.3877,2.3211,1.5468,3.5733,1.8903,0.0846,0.0127,0.1129
里拉,187.0365,41876.0389,204.6364,65.7383,5067.9958,71.1899,64.7159,6810.1314,82.5235
韩元,598.5839,580931.4941,762.1886,363.8895,190195.5186,436.1141,141.7052,62949.325,250.897
