日期,真实汇率值,随机森林预测值
2024-02-02,261.48,263.20940000000036
2024-02-05,265.48,260.49830000000003
2024-02-06,267.43,264.30690000000027
2024-02-07,264.74,266.28489999999994
2024-02-08,265.56,265.21870000000007
2024-02-09,266.29,265.5843000000002
2024-02-19,264.91,264.82200000000006
2024-02-20,266.27,264.27140000000014
2024-02-21,265.95,264.1690000000002
2024-02-22,265.78,264.3300999999998
2024-02-23,269.3,265.88650000000007
2024-02-26,271.17,269.0889999999997
2024-02-27,271.21,271.09229999999997
2024-02-28,268.3,270.9521999999999
2024-02-29,270.6,267.3052000000002
2024-03-01,269.72,268.46269999999987
2024-03-04,268.61,269.3057999999999
2024-03-05,267.51,269.47679999999997
2024-03-06,266.86,267.0580000000001
2024-03-07,264.67,267.8405000000001
2024-03-08,262.93,265.0488000000001
2024-03-11,264.44,260.4087000000001
2024-03-12,262.74,263.233
2024-03-13,262.61,262.4381000000002
2024-03-14,261.36,263.44790000000023
2024-03-15,263.28,262.6195000000001
2024-03-18,263.58,261.80179999999984
2024-03-19,266.51,263.9578000000001
2024-03-20,265.85,266.9900999999999
2024-03-21,263.23,266.8067999999999
2024-03-22,264.45,262.68230000000005
2024-03-25,266.48,263.8561000000003
2024-03-26,265.63,267.10879999999975
2024-03-27,266.83,265.82120000000003
2024-03-28,266.07,268.4149000000001
2024-03-29,266.0,265.0139000000001
2024-04-01,265.13,265.2721000000001
2024-04-02,265.98,263.7796000000002
2024-04-03,264.04,263.9030999999999
2024-04-08,263.21,264.49840000000023
2024-04-09,262.08,260.6020999999999
2024-04-10,259.43,259.1597000000001
2024-04-11,263.63,259.53000000000003
2024-04-12,263.06,264.5185999999997
2024-04-15,264.29,259.7219999999997
2024-04-16,266.05,264.5457000000001
2024-04-17,266.75,265.42740000000003
2024-04-18,266.81,267.99490000000003
2024-04-19,268.32,267.75209999999987
2024-04-22,268.24,266.0253
2024-04-23,269.38,266.5745
2024-04-24,268.48,267.53169999999966
2024-04-25,269.97,267.65970000000016
