日期,真实汇率值,随机森林预测值
2024-03-14,55.137,55.213520000000024
2024-03-15,55.525,55.327729999999995
2024-03-18,55.608,56.081309999999945
2024-03-19,56.012,55.65412000000002
2024-03-20,55.895,56.110400000000055
2024-03-21,55.608,55.95023999999998
2024-03-22,55.755,55.53797
2024-03-25,56.236,55.601069999999964
2024-03-26,55.952,56.19120000000001
2024-03-27,56.073,56.05132000000001
2024-03-28,56.206,56.34933999999996
2024-03-29,56.216,56.36873999999996
2024-04-01,56.106,56.12225999999997
2024-04-02,56.255,56.29480999999994
2024-04-03,56.164,56.07574000000002
2024-04-08,55.761,56.505269999999946
2024-04-09,55.295,55.88241000000001
2024-04-10,55.35,55.26922000000009
2024-04-11,55.909,55.42693999999997
2024-04-12,55.945,55.74402
2024-04-15,56.373,56.00663
2024-04-16,56.649,56.33449
2024-04-17,57.487,56.66175000000008
2024-04-18,56.945,57.385849999999984
2024-04-19,57.014,56.95325999999999
2024-04-22,56.548,56.88259
2024-04-23,56.995,56.40014000000001
2024-04-24,56.707,56.936759999999964
2024-04-25,57.016,56.74199999999997
2024-04-26,56.602,56.989690000000024
2024-04-29,56.767,56.71037000000003
2024-04-30,56.669,56.707200000000014
2024-05-06,56.628,56.68154
2024-05-07,56.31,56.90987
2024-05-08,56.457,56.19026000000002
2024-05-09,56.311,56.34806
2024-05-10,55.989,56.27142999999999
2024-05-13,56.204,55.84239999999996
2024-05-14,55.918,56.202149999999975
2024-05-15,55.56,55.87545999999997
2024-05-16,55.182,55.815999999999995
2024-05-17,55.2,55.02349000000006
2024-05-20,55.151,55.20525000000008
2024-05-21,55.117,55.32771999999999
2024-05-22,55.085,55.20453000000002
2024-05-23,55.435,55.190200000000004
2024-05-24,55.441,55.23886
2024-05-27,55.169,55.45628000000005
2024-05-28,55.243,55.21706999999998
2024-05-29,55.153,55.38979000000001
2024-05-30,55.683,55.194410000000005
2024-05-31,55.603,55.89993999999997
2024-06-03,55.4,55.710080000000055
2024-06-04,55.156,55.36734000000002
2024-06-05,55.683,55.20514000000001
2024-06-06,55.497,55.54697000000001
2024-06-07,55.331,55.54528999999996
2024-06-11,56.486,55.23125000000001
2024-06-12,56.793,56.43044000000005
2024-06-13,56.377,56.95202000000001
2024-06-14,56.897,56.38954999999998
2024-06-17,57.394,56.81793999999995
2024-06-18,56.845,57.379320000000014
2024-06-19,56.827,57.03904999999998
2024-06-20,56.574,56.687090000000026
2024-06-21,56.749,56.538999999999966
2024-06-24,56.809,56.82460000000005
2024-06-25,56.189,56.690070000000034
2024-06-26,56.362,56.27634000000003
2024-06-27,56.675,56.26403999999995
2024-06-28,56.533,56.72531999999998
2024-07-01,56.429,56.666609999999956
2024-07-02,56.387,56.537170000000025
2024-07-03,56.252,56.39790999999998
2024-07-04,55.909,56.05004000000001
2024-07-05,55.578,55.76141999999999
2024-07-08,55.562,55.589089999999985
2024-07-09,55.277,55.79361999999998
2024-07-10,55.169,55.23735000000006
2024-07-11,55.151,55.10190000000003
2024-07-12,55.083,55.29655999999999
2024-07-15,54.83,55.202450000000006
2024-07-16,54.78,55.06835999999994
2024-07-17,55.073,54.785420000000016
2024-07-18,55.078,55.308379999999964
2024-07-19,55.187,55.301349999999985
2024-07-22,55.143,55.17256999999995
2024-07-23,55.078,55.348589999999966
2024-07-24,55.275,55.12149999999999
2024-07-25,55.589,55.26584999999997
2024-07-26,55.392,55.801499999999976
2024-07-29,55.228,55.51064
2024-07-30,55.645,55.28960000000002
2024-07-31,55.605,55.463139999999974
2024-08-01,55.62,55.919759999999926
2024-08-02,55.891,55.40383000000001
2024-08-05,55.201,55.93958
2024-08-06,55.083,55.31127000000001
2024-08-07,55.279,55.23361000000003
2024-08-08,55.408,55.28729000000001
2024-08-09,55.415,55.40483999999998
2024-08-12,55.399,55.36469999999998
2024-08-13,55.102,55.30228999999999
2024-08-14,54.614,55.19939000000006
2024-08-15,54.57,54.672499999999964
2024-08-16,54.703,54.620509999999975
2024-08-19,54.173,54.76131
2024-08-20,53.962,54.01867000000002
2024-08-21,53.877,53.58433999999992
2024-08-22,53.809,53.73803999999991
2024-08-23,54.013,53.95765999999999
2024-08-26,53.637,53.89023999999997
2024-08-27,53.859,53.75751999999997
2024-08-28,53.786,53.92859000000003
2024-08-29,54.185,53.925440000000016
2024-08-30,54.367,54.10497000000001
2024-09-02,54.653,54.576069999999966
2024-09-03,54.268,54.86482
2024-09-04,54.454,54.43644999999998
2024-09-05,54.35,54.316449999999946
2024-09-06,54.36,54.63628999999995
2024-09-09,54.379,54.515639999999955
2024-09-10,54.454,54.323490000000014
2024-09-11,54.546,54.635159999999985
2024-09-12,54.688,54.50158
2024-09-13,54.478,54.59197999999994
2024-09-18,54.227,54.511459999999985
2024-09-19,54.13,53.91058000000004
2024-09-20,54.219,54.11699999999998
2024-09-23,54.253,54.26352000000003
2024-09-24,54.541,54.17952000000002
2024-09-25,54.187,54.430939999999936
2024-09-26,54.507,54.40206000000002
2024-09-27,54.565,54.53175000000001
2024-09-30,54.575,54.56414000000004
2024-10-08,55.709,54.64126000000003
2024-10-09,55.541,55.58768999999998
2024-10-10,55.519,55.73996000000001
2024-10-11,55.621,55.62816000000001
2024-10-14,55.598,55.551019999999944
2024-10-15,55.55,55.64862
2024-10-16,55.373,55.75561999999999
2024-10-17,55.586,55.404890000000016
2024-10-18,55.829,55.743390000000026
2024-10-21,55.814,55.87709000000001
2024-10-22,56.084,55.71862000000003
2024-10-23,56.214,56.09889000000002
2024-10-24,56.551,56.10494999999998
2024-10-25,56.466,56.24600000000005
2024-10-28,56.427,56.35928000000002
2024-10-29,56.428,56.71044
2024-10-30,56.151,56.36563000000003
2024-10-31,56.273,56.379600000000025
2024-11-01,56.232,56.092530000000025
2024-11-04,56.26,56.14654999999999
2024-11-05,56.404,56.07566000000006
2024-11-06,56.247,56.45028000000004
2024-11-07,56.59,56.124750000000034
2024-11-08,55.917,56.432070000000046
2024-11-11,56.236,55.72711999999998
2024-11-12,56.912,56.084689999999945
2024-11-13,56.606,56.78744000000002
2024-11-14,56.815,56.43891000000004
2024-11-15,56.659,57.04182000000007
2024-11-18,56.788,56.65759000000002
2024-11-19,56.323,56.68794
