日期,真实汇率值,随机森林预测值
2023-03-13,504.01,503.2758999999996
2023-03-14,501.68,505.32739999999956
2023-03-15,501.75,502.31879999999995
2023-03-16,502.61,503.03219999999993
2023-03-17,503.36,501.51460000000026
2023-03-20,500.88,504.05199999999945
2023-03-21,503.07,500.9963
2023-03-22,501.1,504.65099999999956
2023-03-23,500.72,501.0239000000001
2023-03-24,498.14,501.4790000000004
2023-03-27,500.49,497.22479999999973
2023-03-28,503.43,502.42740000000026
2023-03-29,505.82,503.04879999999997
2023-03-30,507.95,505.6954000000003
2023-03-31,508.24,508.1087999999997
2023-04-03,509.85,507.29719999999963
2023-04-04,511.54,509.0573999999997
2023-04-06,511.11,513.1139000000002
2023-04-07,510.0,510.9650000000001
2023-04-10,509.08,511.0120999999996
2023-04-11,509.96,508.9216000000004
2023-04-12,511.4,509.75729999999953
2023-04-13,510.88,511.1432000000002
2023-04-14,514.26,509.40449999999987
2023-04-17,513.79,512.8946000000003
2023-04-18,513.72,512.1910000000001
2023-04-19,513.25,512.3462000000003
2023-04-20,512.2,512.3817000000001
2023-04-21,509.99,511.6912000000001
2023-04-24,508.43,509.53259999999995
2023-04-25,508.68,509.2713999999998
2023-04-26,508.31,507.94090000000017
2023-04-27,507.75,508.68600000000004
2023-04-28,508.93,506.01720000000046
2023-05-04,506.72,509.3808000000003
2023-05-05,511.11,509.4624000000004
2023-05-08,517.13,510.07529999999963
2023-05-09,517.85,517.1132999999998
2023-05-10,518.0,519.8071999999995
2023-05-11,516.87,521.4902999999994
2023-05-12,514.96,516.8272999999999
2023-05-15,513.71,514.6587999999997
2023-05-16,516.2,512.7133999999999
2023-05-17,517.49,514.5261000000003
2023-05-18,519.88,518.0262999999994
2023-05-19,521.27,520.5634
2023-05-22,519.85,518.8509999999998
2023-05-23,520.83,521.5536999999998
2023-05-24,522.6,520.5667000000007
2023-05-25,518.88,523.2080000000001
2023-05-26,518.54,519.8898
2023-05-29,518.64,518.6066000000008
2023-05-30,520.82,519.4316000000003
2023-05-31,520.73,520.1816000000002
2023-06-01,523.16,520.2328000000002
2023-06-02,527.63,524.1446
2023-06-05,528.0,527.6477999999997
2023-06-06,528.69,527.6264000000006
2023-06-07,531.26,529.0471000000007
2023-06-08,532.96,531.0891999999997
2023-06-09,532.32,532.4173999999999
2023-06-12,533.91,532.7233999999996
2023-06-13,534.97,533.3788000000003
2023-06-14,537.49,535.7968
2023-06-15,536.41,535.9934999999999
2023-06-16,539.16,536.5224999999996
2023-06-19,539.55,537.0010999999996
2023-06-20,542.24,538.986
2023-06-21,542.76,539.5136999999996
2023-06-26,547.78,542.9752000000007
2023-06-27,549.12,544.7646
2023-06-28,546.49,546.8281000000002
2023-06-29,547.36,545.0786999999999
2023-06-30,547.21,544.9555999999998
2023-07-03,546.85,545.4970000000001
2023-07-04,546.37,547.0128000000002
2023-07-05,545.67,546.4186999999998
2023-07-06,545.63,545.6578
2023-07-07,542.0,544.8872999999996
2023-07-10,543.06,539.6802000000004
2023-07-11,543.64,544.2886000000005
2023-07-12,543.72,544.8681999999998
2023-07-13,543.23,544.8882999999997
2023-07-14,544.85,545.1822000000002
2023-07-17,539.7,543.5502999999994
2023-07-18,543.28,539.4741
2023-07-19,545.23,545.6590000000004
2023-07-20,548.65,544.9744999999994
2023-07-21,546.08,547.4749000000002
2023-07-24,543.06,548.0366000000007
2023-07-25,546.8,544.8215000000005
2023-07-26,541.09,544.9933999999998
2023-07-27,541.24,541.3474999999997
2023-07-28,541.51,539.7868
2023-07-31,540.08,540.1178000000004
2023-08-01,541.89,539.5752000000005
