日期,真实汇率值,随机森林预测值
2022-12-23,975.24,1000.1667999999995
2022-12-26,989.35,995.6483000000007
2022-12-27,985.58,977.9570000000004
2022-12-28,996.36,982.8268000000012
2022-12-29,1034.87,997.102000000001
2022-12-30,1061.93,1045.4044000000001
2023-01-03,1031.26,1055.9718999999986
2023-01-04,1056.36,1018.6052999999997
2023-01-05,1040.79,1054.0212999999992
2023-01-06,1049.56,1048.3680000000013
2023-01-09,1062.15,1050.4983000000002
2023-01-10,1031.13,1058.9570999999994
2023-01-11,1027.32,1026.6428000000012
2023-01-12,1038.88,1030.6379000000006
2023-01-13,1008.44,1047.817200000001
2023-01-16,1018.72,1017.3294999999989
2023-01-17,1021.71,1033.370600000001
2023-01-18,1012.62,1016.5833000000001
2023-01-19,1017.49,1015.4024999999996
2023-01-20,1024.82,1019.3191999999996
2023-01-30,1019.46,1032.0140000000001
2023-01-31,1036.22,1017.7793000000004
2023-02-01,1044.01,1038.9103999999988
2023-02-02,1043.56,1045.0142000000003
2023-02-03,1042.92,1047.2122000000006
2023-02-06,1049.2,1049.7444999999998
2023-02-07,1053.85,1053.085600000001
2023-02-08,1047.71,1051.963499999999
2023-02-09,1063.83,1049.4843000000017
2023-02-10,1074.56,1065.4171999999996
2023-02-13,1077.19,1070.467900000001
2023-02-14,1076.37,1073.9983000000007
2023-02-15,1079.15,1088.0034000000012
2023-02-16,1079.8,1078.320499999999
2023-02-17,1089.44,1078.4177999999997
2023-02-20,1075.97,1090.6164000000003
2023-02-21,1068.27,1090.9787999999996
2023-02-22,1087.24,1104.8309999999994
2023-02-23,1087.85,1090.3449999999991
2023-02-24,1085.23,1084.9051
2023-02-27,1090.49,1087.1429999999993
2023-02-28,1078.28,1079.3506999999988
2023-03-01,1080.38,1084.576800000001
2023-03-02,1093.26,1079.4557999999995
2023-03-03,1092.35,1079.2340999999985
2023-03-06,1093.83,1078.8597999999988
2023-03-07,1088.98,1087.7445999999989
2023-03-08,1086.85,1078.6677999999997
2023-03-09,1092.1,1089.0513999999994
2023-03-10,1089.49,1088.285499999999
2023-03-13,1097.96,1083.5600999999997
2023-03-14,1101.32,1080.3884000000012
2023-03-15,1100.89,1097.8803000000014
2023-03-16,1101.66,1097.8155000000015
2023-03-17,1110.67,1103.0640000000008
2023-03-20,1116.96,1110.2197999999992
2023-03-21,1121.27,1118.5220000000006
2023-03-22,1122.71,1122.5751
2023-03-23,1120.31,1123.5161000000007
2023-03-24,1113.9,1121.3823999999997
2023-03-27,1124.98,1115.894399999999
2023-03-28,1115.87,1128.2433999999998
2023-03-29,1117.0,1122.7142000000006
2023-03-30,1122.18,1122.3488000000004
2023-03-31,1124.62,1119.5097000000003
2023-04-03,1130.41,1123.0967999999996
2023-04-04,1142.1,1135.6736000000012
2023-04-06,1164.84,1145.692799999999
2023-04-07,1179.38,1161.1777
2023-04-10,1180.84,1173.9244000000012
2023-04-11,1185.93,1174.4122000000016
2023-04-12,1181.1,1194.916500000002
2023-04-13,1194.85,1180.3253000000018
2023-04-14,1190.61,1186.8753000000006
2023-04-17,1191.83,1178.5948000000012
2023-04-18,1191.67,1183.8280999999995
2023-04-19,1189.96,1182.6248999999996
2023-04-20,1185.26,1186.577199999999
2023-04-21,1186.39,1183.9552999999987
2023-04-24,1184.24,1184.574199999999
2023-04-25,1182.74,1184.0985999999994
2023-04-26,1174.14,1173.8405999999998
2023-04-27,1182.7,1199.9734999999991
2023-04-28,1180.31,1183.2995999999998
2023-05-04,1151.08,1188.9384999999995
2023-05-05,1135.59,1151.7894
2023-05-08,1125.36,1135.7036999999996
2023-05-09,1122.7,1120.636
2023-05-10,1124.18,1117.0417000000011
2023-05-11,1100.99,1120.3301000000004
2023-05-12,1106.59,1106.2923000000017
2023-05-15,1108.97,1104.1086000000014
2023-05-16,1146.97,1107.2414999999999
2023-05-17,1154.01,1143.4247
2023-05-18,1142.73,1153.434300000001
2023-05-19,1142.08,1145.6037999999994
2023-05-22,1145.43,1147.8333999999993
2023-05-23,1143.6,1154.8301000000001
2023-05-24,1136.1,1153.7193999999997
2023-05-25,1137.46,1137.2037
2023-05-26,1131.88,1136.0985999999996
2023-05-29,1124.39,1135.0001000000009
2023-05-30,1133.3,1123.1767999999997
2023-05-31,1102.47,1133.2316999999994
2023-06-01,1146.13,1105.823500000001
2023-06-02,1140.89,1146.9931999999997
2023-06-05,1142.85,1140.8527000000004
2023-06-06,1134.93,1145.1574999999996
2023-06-07,1143.15,1132.5008999999984
2023-06-08,1143.64,1144.1941000000008
2023-06-09,1157.11,1154.2006999999999
2023-06-12,1159.25,1155.3247999999999
2023-06-13,1171.84,1159.5268999999994
2023-06-14,1172.36,1172.4848000000006
2023-06-15,1173.83,1171.3013000000005
2023-06-16,1172.43,1171.8003999999999
2023-06-19,1177.23,1172.1908000000005
2023-06-20,1171.71,1173.954399999999
2023-06-21,1171.43,1170.6970999999999
2023-06-26,1168.48,1169.8637999999999
2023-06-27,1167.72,1169.3697
2023-06-28,1182.96,1162.3214
2023-06-29,1187.9,1173.2635000000002
2023-06-30,1199.55,1195.592699999999
2023-07-03,1220.72,1212.1097000000007
2023-07-04,1233.83,1226.4703000000015
2023-07-05,1243.12,1248.1349000000018
2023-07-06,1253.17,1241.1888000000006
2023-07-07,1257.31,1261.4764999999995
2023-07-10,1266.14,1260.9446999999996
2023-07-11,1263.85,1273.9765999999995
2023-07-12,1256.02,1261.8686000000002
2023-07-13,1263.78,1243.8324
2023-07-14,1261.89,1261.6516000000001
2023-07-17,1263.48,1253.9357000000011
2023-07-18,1263.23,1250.8751000000009
2023-07-19,1261.89,1253.3663000000008
2023-07-20,1267.45,1253.3781000000008
2023-07-21,1258.48,1261.7892000000002
2023-07-24,1261.69,1243.0928000000001
2023-07-25,1260.32,1253.3781000000008
2023-07-26,1265.7,1253.3781000000008
2023-07-27,1259.21,1260.5395
2023-07-28,1266.21,1253.7354000000007
2023-07-31,1284.55,1260.5277
2023-08-01,1281.87,1299.3430999999996
2023-08-02,1285.75,1267.2434999999994
2023-08-03,1307.11,1299.5352999999998
2023-08-04,1314.48,1309.1201999999992
2023-08-07,1333.4,1313.5645999999992
2023-08-08,1329.31,1396.6163999999997
2023-08-09,1341.44,1459.7274999999997
2023-08-10,1344.01,1367.0576999999996
2023-08-11,1343.06,1356.4708999999996
2023-08-14,1372.08,1360.3769999999995
2023-08-15,1364.03,1362.1084
2023-08-16,1349.25,1357.3139999999999
2023-08-17,1319.22,1355.9500999999998
2023-08-18,1296.75,1330.5949999999993
2023-08-21,1294.47,1291.546199999998
2023-08-22,1285.48,1290.438399999998
2023-08-23,1293.88,1294.0509999999997
2023-08-24,1293.71,1289.1256999999982
2023-08-25,1298.16,1289.429699999998
2023-08-28,1307.59,1296.4693999999984
2023-08-29,1309.03,1314.2541999999992
2023-08-30,1311.69,1308.9096999999995
2023-08-31,1320.98,1309.8030999999996
2023-09-01,1319.33,1330.1237999999994
2023-09-04,1327.1,1332.7493999999995
2023-09-05,1325.83,1458.8929999999996
2023-09-06,1335.09,1463.0416999999995
2023-09-07,1343.29,1398.8235999999995
2023-09-08,1342.91,1360.8145999999997
2023-09-11,1347.97,1355.9500999999998
2023-09-12,1322.05,1355.9500999999998
2023-09-13,1314.81,1365.5891999999992
2023-09-14,1331.06,1330.3081999999995
2023-09-15,1317.23,1459.1460999999995
2023-09-18,1340.16,1330.7201999999993
2023-09-19,1329.53,1351.3429
2023-09-20,1337.79,1459.2712999999994
2023-09-21,1331.15,1351.2177000000001
2023-09-22,1327.52,1464.0105999999994
2023-09-25,1329.21,1458.7887999999994
2023-09-26,1316.45,1459.1460999999995
2023-09-27,1333.31,1330.5949999999993
2023-09-28,1335.06,1459.1460999999995
2023-10-09,1390.07,1393.9590999999998
2023-10-10,1367.74,1358.2307
2023-10-11,1378.79,1359.5676999999998
2023-10-12,1376.06,1358.2307
2023-10-13,1349.98,1358.2307
2023-10-16,1348.32,1355.9500999999998
2023-10-17,1344.97,1355.9500999999998
2023-10-18,1348.71,1354.5973999999999
2023-10-19,1349.35,1354.5973999999999
2023-10-20,1332.28,1354.5973999999999
2023-10-23,1322.6,1457.7933999999996
2023-10-24,1308.48,1458.8025999999995
2023-10-25,1293.69,1310.4621999999993
2023-10-26,1286.99,1289.2438999999981
2023-10-27,1290.26,1292.9640999999995
2023-10-30,1300.26,1287.043599999999
2023-10-31,1282.23,1312.2537999999986
2023-11-01,1287.95,1262.4749999999983
2023-11-02,1282.07,1301.8764
2023-11-03,1290.19,1266.0223999999992
2023-11-06,1286.08,1295.0172000000007
2023-11-07,1279.48,1305.6889000000003
2023-11-08,1275.55,1266.4674999999984
2023-11-09,1271.54,1262.540199999999
2023-11-10,1270.1,1260.9969999999994
2023-11-13,1277.81,1260.9969999999994
2023-11-14,1270.43,1263.3927999999992
2023-11-15,1260.84,1260.9969999999994
2023-11-16,1243.37,1253.3710000000005
2023-11-17,1240.17,1219.8672000000004
2023-11-20,1244.85,1224.5228000000006
2023-11-21,1238.68,1243.935700000001
2023-11-22,1235.88,1224.5228000000006
2023-11-23,1235.05,1224.4918000000007
2023-11-24,1237.36,1225.4401000000007
2023-11-27,1248.51,1233.5348000000006
2023-11-28,1247.88,1250.6129000000005
2023-11-29,1248.32,1249.8592000000006
2023-11-30,1245.96,1251.0981000000004
2023-12-01,1260.03,1252.4077000000004
2023-12-04,1281.25,1256.2152000000008
2023-12-05,1279.21,1276.3505999999988
2023-12-06,1280.06,1265.0836999999995
2023-12-07,1297.04,1265.0836999999995
2023-12-08,1297.23,1288.642699999999
2023-12-11,1287.77,1289.1078999999988
2023-12-12,1273.03,1291.9797
2023-12-13,1263.64,1258.670199999999
2023-12-14,1261.86,1260.3048
2023-12-15,1262.57,1253.3710000000005
2023-12-18,1269.19,1252.1328000000003
2023-12-19,1268.32,1262.192599999999
2023-12-20,1271.12,1260.3401999999999
2023-12-21,1274.26,1260.8933999999997
2023-12-22,1293.4,1263.1208999999994
2023-12-25,1294.59,1289.4233999999994
2023-12-26,1294.99,1289.5967999999991
2023-12-27,1286.02,1294.7941999999994
2023-12-28,1289.59,1305.3218000000006
2023-12-29,1245.82,1296.596400000001
2024-01-02,1260.6,1245.8633000000007
2024-01-03,1273.68,1253.2478000000006
2024-01-04,1287.37,1262.416999999999
2024-01-05,1280.43,1296.1706000000008
2024-01-08,1276.55,1266.178299999999
2024-01-09,1276.36,1263.760899999999
2024-01-10,1256.84,1261.5881999999995
2024-01-11,1253.83,1241.0393
2024-01-12,1244.34,1244.8245999999997
2024-01-15,1235.75,1237.4920000000002
2024-01-16,1229.48,1224.4918000000007
2024-01-17,1233.26,1219.8356000000013
2024-01-18,1235.18,1225.0529000000008
2024-01-19,1249.46,1225.043300000001
2024-01-22,1232.41,1246.2308999999998
2024-01-23,1231.94,1234.359400000001
2024-01-24,1243.2,1232.710700000001
2024-01-25,1242.67,1228.7628000000007
2024-01-26,1244.72,1228.1340000000002
2024-01-29,1257.43,1245.5552000000002
2024-01-30,1249.77,1242.3936
2024-01-31,1255.9,1249.3104999999998
2024-02-01,1259.09,1243.8324
2024-02-02,1267.06,1255.677100000001
2024-02-05,1271.17,1261.6870000000001
2024-02-06,1266.51,1261.9334
2024-02-07,1267.81,1258.0365000000002
2024-02-08,1280.61,1259.8818
2024-02-09,1274.16,1266.5941999999993
2024-02-19,1290.0,1262.8666999999994
2024-02-20,1293.05,1292.3906000000002
2024-02-21,1290.47,1294.5892999999996
2024-02-22,1292.6,1290.5839
2024-02-23,1302.38,1288.6604999999997
2024-02-26,1316.0,1314.508899999999
2024-02-27,1291.14,1331.0972999999992
2024-02-28,1287.0,1293.9839000000006
2024-02-29,1278.28,1297.4985000000008
2024-03-01,1277.03,1259.6193999999991
2024-03-04,1282.76,1263.637699999999
2024-03-05,1278.86,1267.0264999999986
2024-03-06,1270.08,1266.1711999999984
2024-03-07,1269.94,1260.9969999999994
2024-03-08,1268.99,1260.9969999999994
2024-03-11,1274.47,1260.9969999999994
2024-03-12,1273.03,1262.6227999999994
2024-03-13,1284.75,1258.670199999999
2024-03-14,1279.99,1302.1454999999999
2024-03-15,1280.62,1266.9536999999993
2024-03-18,1296.08,1266.9536999999993
2024-03-19,1282.87,1296.013699999999
2024-03-20,1292.99,1267.1982999999996
2024-03-21,1292.81,1294.1087999999995
2024-03-22,1286.44,1292.8726999999997
2024-03-25,1283.08,1305.0039000000004
2024-03-26,1298.42,1304.0252999999998
