日期,真实汇率值,随机森林预测值
2024-03-14,147.39,147.52739999999997
2024-03-15,148.36,147.04529999999994
2024-03-18,149.15,148.30040000000008
2024-03-19,149.63,149.39710000000008
2024-03-20,149.37,149.98540000000003
2024-03-21,148.48,149.68800000000024
2024-03-22,149.46,147.85000000000008
2024-03-25,150.52,149.7672000000002
2024-03-26,150.51,150.7205000000002
2024-03-27,151.11,151.49470000000017
2024-03-28,151.71,150.54649999999984
2024-03-29,152.76,150.28760000000005
2024-04-01,152.37,152.7956999999998
2024-04-02,153.46,153.00279999999984
2024-04-03,152.22,153.82399999999998
2024-04-08,151.1,153.05299999999986
2024-04-09,150.01,151.22249999999997
2024-04-10,149.85,151.0971999999999
2024-04-11,151.89,150.5238999999999
2024-04-12,151.76,151.0318999999999
2024-04-15,152.0,149.68200000000004
2024-04-16,152.83,151.72819999999993
2024-04-17,153.3,153.54590000000016
2024-04-18,154.47,153.0396999999998
2024-04-19,155.07,153.29840000000002
2024-04-22,154.51,155.03900000000021
2024-04-23,154.02,153.8087
2024-04-24,153.13,153.68069999999983
2024-04-25,154.21,153.12140000000005
2024-04-26,153.76,153.62739999999994
2024-04-29,154.35,153.72599999999994
2024-04-30,154.3,153.5680000000001
2024-05-06,152.67,153.7038000000001
2024-05-07,152.11,152.2557000000001
2024-05-08,153.22,151.0445
2024-05-09,152.99,152.95259999999988
2024-05-10,152.39,152.96239999999997
2024-05-13,152.24,152.3062000000001
2024-05-14,151.77,152.45920000000007
2024-05-15,151.65,149.7673000000002
2024-05-16,149.93,150.68269999999998
2024-05-17,150.27,150.6346999999999
2024-05-20,149.83,150.4591
2024-05-21,150.08,150.55289999999985
2024-05-22,149.52,150.24280000000007
2024-05-23,150.02,149.6648000000002
2024-05-24,149.5,150.53269999999998
2024-05-27,148.72,149.55310000000017
2024-05-28,147.22,149.55450000000016
2024-05-29,147.44,147.08630000000005
2024-05-30,148.29,147.05169999999995
2024-05-31,147.9,148.09730000000002
2024-06-03,147.29,147.90799999999996
2024-06-04,146.66,147.09070000000003
2024-06-05,148.08,146.83820000000006
2024-06-06,148.18,148.62360000000004
2024-06-07,147.96,148.41350000000008
2024-06-11,148.97,148.43410000000017
2024-06-12,149.69,147.8163000000001
2024-06-13,148.32,148.3605999999999
2024-06-14,149.05,148.38770000000014
2024-06-17,149.44,149.5933
2024-06-18,149.22,149.68580000000023
2024-06-19,148.33,149.6863000000002
2024-06-20,147.92,148.10880000000006
2024-06-21,147.45,147.89950000000002
2024-06-24,147.92,147.2745
2024-06-25,147.69,147.79860000000002
2024-06-26,148.5,147.65919999999994
2024-06-27,149.28,147.99500000000006
2024-06-28,149.13,149.8251000000001
2024-07-01,149.21,148.71810000000016
2024-07-02,148.99,149.52160000000015
2024-07-03,149.17,147.9626000000001
2024-07-04,147.64,149.50980000000015
2024-07-05,147.8,147.7218
2024-07-08,147.65,147.50149999999988
2024-07-09,148.13,147.39819999999992
2024-07-10,148.1,148.22069999999997
2024-07-11,149.64,148.3058
2024-07-12,150.09,150.6482
2024-07-15,150.11,149.48400000000004
2024-07-16,151.03,150.7657000000001
2024-07-17,150.64,151.03519999999997
2024-07-18,150.11,151.6413000000002
2024-07-19,151.04,150.3674
2024-07-22,151.73,150.30869999999993
2024-07-23,153.05,149.82050000000004
2024-07-24,153.92,152.99810000000002
2024-07-25,154.14,153.72099999999998
2024-07-26,154.32,153.68099999999998
2024-07-29,154.03,153.33900000000003
2024-07-30,153.71,153.8027999999999
2024-07-31,153.08,153.92470000000012
2024-08-01,152.81,152.4913000000001
2024-08-02,152.94,152.47890000000012
2024-08-05,153.48,152.77909999999994
2024-08-06,154.34,153.73510000000016
2024-08-07,152.98,153.4775000000001
2024-08-08,151.19,152.96179999999998
2024-08-09,151.67,150.6347999999999
2024-08-12,151.34,150.2639999999999
2024-08-13,151.04,149.27179999999996
2024-08-14,150.31,150.87249999999997
2024-08-15,150.13,151.1519
2024-08-16,150.24,150.4509
2024-08-19,149.61,150.98469999999992
2024-08-20,148.04,149.90729999999996
2024-08-21,147.17,148.43390000000008
2024-08-22,147.39,146.79590000000007
2024-08-23,148.37,146.90229999999994
2024-08-26,147.19,148.5508
2024-08-27,148.04,146.9588
2024-08-28,146.9,148.2246000000001
2024-08-29,147.42,147.54290000000006
2024-08-30,147.65,147.0299999999999
2024-09-02,149.33,147.5831
2024-09-03,148.96,149.7020000000002
2024-09-04,150.21,148.29030000000012
2024-09-05,149.9,150.29770000000016
2024-09-06,149.9,149.36280000000005
2024-09-09,150.89,149.41240000000002
2024-09-10,152.31,151.20470000000006
2024-09-11,152.17,152.9631999999998
2024-09-12,152.45,152.37369999999987
2024-09-13,150.83,152.88639999999992
2024-09-18,149.56,150.75409999999994
2024-09-19,149.22,149.4865000000001
2024-09-20,148.68,149.67879999999997
2024-09-23,148.73,149.25830000000016
2024-09-24,148.75,149.20500000000015
2024-09-25,148.14,149.18610000000012
2024-09-26,150.29,148.4548999999999
2024-09-27,150.29,150.15420000000017
2024-09-30,149.81,150.5222000000002
2024-10-08,150.52,149.89469999999994
2024-10-09,151.73,150.8858000000002
2024-10-10,152.35,150.1711
2024-10-11,151.75,152.2101999999998
2024-10-14,151.73,149.83890000000008
2024-10-15,152.47,149.83120000000005
2024-10-16,152.07,152.78799999999995
2024-10-17,153.33,151.65800000000013
2024-10-18,153.24,153.48469999999986
2024-10-21,153.86,153.13699999999992
2024-10-22,153.72,153.7700999999999
2024-10-23,153.32,153.92470000000012
2024-10-24,154.11,153.71519999999992
2024-10-25,153.88,153.69909999999982
2024-10-28,154.07,153.51109999999983
2024-10-29,154.14,153.6010999999999
2024-10-30,153.48,153.53470000000007
2024-10-31,153.86,153.87510000000015
2024-11-01,154.57,153.53549999999984
2024-11-04,154.6,153.33620000000016
2024-11-05,154.94,153.35750000000016
2024-11-06,154.5,154.48170000000005
2024-11-07,154.53,153.32540000000014
2024-11-08,152.31,153.79209999999998
2024-11-11,153.1,152.37940000000003
2024-11-12,153.35,152.8246999999999
2024-11-13,153.02,153.57659999999998
2024-11-14,154.07,152.88589999999994
2024-11-15,154.09,153.68150000000003
2024-11-18,153.62,153.68150000000003
2024-11-19,152.46,153.60490000000004
2024-11-20,151.71,152.3568000000001
2024-11-21,152.97,149.70359999999997
2024-11-22,153.17,152.3989000000001
2024-11-25,152.45,152.9540999999999
2024-11-26,153.82,152.29900000000012
2024-11-27,154.17,153.0985999999999
2024-11-28,153.5,154.10089999999983
2024-11-29,153.12,153.41670000000005
2024-12-02,153.73,152.5352000000001
2024-12-03,153.61,153.17719999999997
2024-12-04,152.97,153.8791
2024-12-05,153.08,152.8397
2024-12-06,153.21,152.83869999999987
2024-12-09,154.45,153.2804
2024-12-10,153.95,153.42569999999998
2024-12-11,154.34,153.6517
2024-12-12,154.35,153.94619999999998
2024-12-13,154.52,153.53679999999994
2024-12-16,154.36,153.51919999999996
2024-12-17,154.26,153.42469999999997
2024-12-18,154.87,153.71050000000005
2024-12-19,157.09,154.5117
2024-12-20,158.01,156.83219999999974
2024-12-23,156.74,156.8864999999997
2024-12-24,156.94,157.16139999999967
2024-12-25,156.89,156.85279999999975
2024-12-26,156.93,157.07789999999974
2024-12-27,157.58,156.91679999999968
2024-12-30,156.88,156.4497999999997
2024-12-31,156.58,156.9285999999997
2025-01-02,157.21,157.01359999999974
2025-01-03,157.3,156.79379999999975
2025-01-06,156.92,156.79379999999975
2025-01-07,156.26,156.81159999999971
2025-01-08,156.47,155.95989999999978
2025-01-09,157.42,156.81479999999974
2025-01-10,157.46,156.63509999999974
2025-01-13,157.82,156.4497999999997
2025-01-14,157.61,156.8034999999997
2025-01-15,157.23,156.5771999999997
2025-01-16,156.47,156.79029999999975
2025-01-17,156.87,156.81129999999973
2025-01-20,158.34,156.9635999999997
2025-01-21,157.01,157.47609999999972
2025-01-22,156.99,156.73699999999974
2025-01-23,156.45,156.73699999999974
2025-01-24,156.41,156.78959999999972
2025-01-27,155.95,156.57199999999975
2025-02-05,155.97,155.1324
2025-02-06,155.93,154.7012999999999
2025-02-07,155.53,155.37949999999998
2025-02-10,155.97,155.4124
2025-02-11,155.37,155.13479999999998
2025-02-12,155.24,155.53369999999984
2025-02-13,155.98,155.3380999999999
2025-02-14,154.84,155.16879999999995
2025-02-17,154.76,154.0391000000001
2025-02-18,154.57,153.75690000000017
2025-02-19,155.1,153.08820000000017
