日期,真实汇率值,随机森林预测值
2023-10-12,528.42,528.9056
2023-10-13,526.82,528.7971
2023-10-16,526.5,527.117
2023-10-17,526.52,526.1419999999998
2023-10-18,526.67,526.2273999999998
2023-10-19,525.46,526.9775
2023-10-20,524.62,526.8029000000006
2023-10-23,526.49,526.3483
2023-10-24,526.9,526.2273999999998
2023-10-25,526.92,527.1405000000001
2023-10-26,525.59,527.1405000000001
2023-10-27,526.42,526.8678000000007
2023-10-30,525.94,526.0366999999999
2023-10-31,527.44,526.4155000000003
2023-11-01,526.93,528.0882000000005
2023-11-02,527.27,527.1169
2023-11-03,528.0,527.9800000000005
2023-11-06,531.49,528.2526000000005
2023-11-07,532.67,531.7811000000002
2023-11-08,531.72,532.9870000000003
2023-11-09,530.65,531.8436
2023-11-10,529.64,531.0414999999997
2023-11-13,529.56,529.7204999999997
2023-11-14,529.76,529.6673999999997
2023-11-15,532.69,529.5405999999999
2023-11-16,532.03,533.3747999999995
2023-11-17,533.43,533.4327999999996
2023-11-20,534.29,533.1453999999995
2023-11-21,535.21,534.5103000000003
2023-11-22,533.67,534.2208999999998
2023-11-23,532.33,533.8642999999998
2023-11-24,531.58,533.4525999999995
2023-11-27,531.45,531.4995999999996
2023-11-28,532.71,531.4910999999997
2023-11-29,534.39,533.3254999999996
2023-11-30,533.7,535.0371000000005
2023-12-01,532.65,534.6106000000001
2023-12-04,533.58,533.3611999999995
2023-12-05,532.52,533.8366999999997
2023-12-06,531.57,533.4785999999996
2023-12-07,531.37,531.4340999999996
2023-12-08,531.53,531.4675999999996
2023-12-11,531.16,531.5448999999996
2023-12-12,530.83,530.6630999999998
2023-12-13,531.19,530.2815999999999
2023-12-14,533.41,530.6630999999998
2023-12-15,534.17,533.0959999999994
2023-12-18,532.94,534.3308000000002
2023-12-19,533.29,533.4941999999995
2023-12-20,534.43,533.4377999999995
2023-12-21,533.54,534.1944
2023-12-22,535.11,533.8546999999998
2023-12-25,536.34,535.1085000000002
2023-12-26,536.44,537.3741000000002
2023-12-27,536.8,537.2975000000002
2023-12-28,538.03,536.5087
2023-12-29,537.72,538.0817000000003
2024-01-02,537.0,537.9298000000002
2024-01-03,536.21,536.6482000000003
2024-01-04,535.69,535.7428999999996
2024-01-05,535.14,535.3943999999997
2024-01-08,534.89,534.6382000000006
2024-01-09,535.3,535.1292999999998
2024-01-10,534.67,534.9523999999997
2024-01-11,534.73,534.9554000000004
2024-01-12,535.06,535.1646000000001
2024-01-15,534.55,535.0012000000003
2024-01-16,534.42,534.9116000000004
2024-01-17,532.2,535.2942999999999
2024-01-18,530.94,532.9747999999997
2024-01-19,530.94,530.1612999999999
2024-01-22,531.67,530.1612999999999
2024-01-23,531.35,531.2450999999999
2024-01-24,531.31,531.4445999999997
2024-01-25,530.98,531.4675999999996
2024-01-26,531.28,530.5944999999998
2024-01-29,530.68,531.4525999999998
2024-01-30,531.73,530.5699999999999
2024-01-31,531.44,531.4995999999996
2024-02-01,531.51,531.6862999999997
2024-02-02,532.12,531.7166999999997
2024-02-05,530.85,533.5255999999996
2024-02-06,529.43,530.4769999999999
2024-02-07,529.67,529.4311000000001
2024-02-08,530.29,529.1535
2024-02-09,529.16,530.3566999999998
2024-02-19,529.45,528.7066999999995
2024-02-20,529.12,529.1361
2024-02-21,529.64,528.7362999999996
2024-02-22,529.54,529.5396999999997
2024-02-23,530.24,529.4865999999997
2024-02-26,530.48,530.9925
2024-02-27,529.52,531.1569999999996
2024-02-28,530.05,529.4865999999997
2024-02-29,529.37,531.3999999999996
2024-03-01,529.1,528.8869999999993
2024-03-04,529.44,528.8765999999994
2024-03-05,530.01,529.4311000000001
2024-03-06,530.13,531.2369
2024-03-07,531.51,531.3615999999996
2024-03-08,533.35,531.9939999999998
2024-03-11,534.21,533.4497999999996
2024-03-12,534.69,534.2709000000002
2024-03-13,534.04,534.2890999999998
2024-03-14,533.71,534.4286000000003
2024-03-15,533.3,533.877
2024-03-18,532.19,533.3571999999995
2024-03-19,531.56,533.4397999999995
2024-03-20,530.61,531.4847999999997
2024-03-21,530.52,530.2391999999999
2024-03-22,530.52,530.2146999999999
2024-03-25,528.76,530.2664999999998
2024-03-26,528.89,528.3443999999996
2024-03-27,529.32,528.2808999999996
2024-03-28,528.73,528.7050999999996
2024-03-29,527.62,528.5342
2024-04-01,528.35,527.9307000000005
2024-04-02,527.84,527.9476000000004
2024-04-03,526.9,527.6944
2024-04-08,527.63,526.7076999999998
2024-04-09,528.36,527.7101000000002
2024-04-10,529.62,527.9516000000001
2024-04-11,526.99,529.7204999999997
2024-04-12,526.99,526.8439
2024-04-15,525.1,526.8686999999999
2024-04-16,523.77,526.6641000000004
2024-04-17,523.31,523.8326999999999
2024-04-18,523.92,523.7699
2024-04-19,523.78,523.9291
2024-04-22,524.13,523.9371
2024-04-23,523.57,523.9623
2024-04-24,523.45,523.7377
2024-04-25,523.64,523.7560000000001
2024-04-26,524.6,523.7377
2024-04-29,524.46,526.0160999999999
2024-04-30,524.1,525.9166999999999
2024-05-06,527.02,523.9009
2024-05-07,526.79,527.0501999999999
2024-05-08,525.82,527.0939999999999
2024-05-09,525.83,526.5524000000004
2024-05-10,526.34,526.5590000000004
2024-05-13,526.04,526.0090999999998
2024-05-14,526.57,526.4536000000002
2024-05-15,526.95,526.2273999999998
2024-05-16,529.27,527.1405000000001
2024-05-17,528.96,529.3083999999996
2024-05-20,529.5,529.0702999999997
2024-05-21,529.16,529.6962999999997
2024-05-22,529.4,529.3213999999996
2024-05-23,528.81,529.6962999999997
2024-05-24,528.14,528.8113999999998
2024-05-27,528.28,527.6676000000003
2024-05-28,528.67,527.3895000000002
2024-05-29,529.07,528.4765999999996
2024-05-30,528.31,529.0088999999994
2024-05-31,528.49,527.4992000000003
2024-06-03,528.13,528.7329
2024-06-04,529.68,527.8146000000002
2024-06-05,529.94,529.7204999999997
2024-06-06,529.45,531.2956999999997
2024-06-07,530.27,529.5966999999996
2024-06-11,528.4,531.0502999999997
2024-06-12,528.22,528.7971
2024-06-13,529.41,527.7591000000002
2024-06-14,528.96,529.4865999999997
2024-06-17,528.05,528.5542999999993
2024-06-18,528.47,527.5810000000004
2024-06-19,528.09,528.4862
2024-06-20,528.64,527.7986000000002
2024-06-21,527.94,528.8306
2024-06-24,527.8,527.6510000000003
2024-06-25,527.74,527.6234
2024-06-26,527.85,527.8030999999999
2024-06-27,526.58,527.8122999999999
2024-06-28,527.9,526.1679999999998
2024-07-01,527.13,527.7359
2024-07-02,527.03,526.979
2024-07-03,527.35,526.9046
2024-07-04,528.49,527.9438000000005
2024-07-05,528.96,528.8131
2024-07-08,530.1,529.0202999999997
2024-07-09,529.82,531.2932999999997
2024-07-10,529.84,530.2063999999992
2024-07-11,530.93,530.2063999999992
2024-07-12,531.98,530.9507999999996
2024-07-15,532.52,533.0759
2024-07-16,532.37,533.2784999999999
2024-07-17,532.27,533.6696999999997
2024-07-18,533.26,533.6224999999997
2024-07-19,532.62,533.4223999999996
2024-07-22,532.47,533.5216999999997
2024-07-23,531.89,533.5129999999995
2024-07-24,532.25,532.9181999999996
2024-07-25,532.89,533.4386999999995
2024-07-26,532.07,533.2516999999995
2024-07-29,532.31,533.2221999999995
2024-07-30,532.93,533.4386999999995
2024-07-31,532.95,533.1899999999995
2024-08-01,534.16,533.5443999999994
2024-08-02,535.08,534.3920999999999
2024-08-05,537.98,534.5397999999998
2024-08-06,538.31,537.8873000000001
2024-08-07,538.55,537.7920999999999
2024-08-08,538.82,538.7367999999997
2024-08-09,539.28,538.9851999999996
2024-08-12,539.8,539.7215999999994
2024-08-13,540.23,541.5433999999991
2024-08-14,542.24,539.4892000000002
2024-08-15,542.29,541.4976000000004
2024-08-16,540.86,541.1096000000005
2024-08-19,542.94,538.6941000000005
2024-08-20,545.16,541.3031000000005
2024-08-21,546.53,541.1394000000006
2024-08-22,545.95,541.4844000000006
2024-08-23,544.74,541.4261000000005
2024-08-26,546.93,541.4261000000005
2024-08-27,546.17,541.4844000000006
2024-08-28,547.31,541.4264000000005
2024-08-29,547.11,541.4264000000005
2024-08-30,545.88,541.4264000000005
2024-09-02,543.76,541.4264000000005
2024-09-03,543.95,541.4264000000005
2024-09-04,544.51,541.4264000000005
2024-09-05,544.64,541.4264000000005
2024-09-06,545.55,541.4264000000005
2024-09-09,544.74,541.4264000000005
2024-09-10,544.73,541.4264000000005
2024-09-11,545.81,541.4264000000005
2024-09-12,545.9,541.4264000000005
2024-09-13,545.94,541.4264000000005
