日期,真实汇率值,随机森林预测值
2023-08-23,433.91,434.62059999999997
2023-08-24,434.8,433.6104
2023-08-25,431.81,433.9685000000001
2023-08-28,430.46,433.0178999999999
2023-08-29,430.51,428.8965999999997
2023-08-30,434.36,429.0243999999998
2023-08-31,433.42,432.74650000000054
2023-09-01,435.28,434.7485
2023-09-04,432.19,435.87190000000027
2023-09-05,430.94,431.4918
2023-09-06,429.98,431.0216000000004
2023-09-07,429.34,429.5037000000004
2023-09-08,430.53,429.7781000000003
2023-09-11,431.87,429.9537000000001
2023-09-12,430.0,432.29680000000036
2023-09-13,429.06,429.3788000000001
2023-09-14,429.02,429.3448999999998
2023-09-15,427.01,429.68109999999984
2023-09-18,426.63,427.0340000000002
2023-09-19,428.19,428.4585999999997
2023-09-20,430.57,430.45389999999986
2023-09-21,429.24,429.69620000000003
2023-09-22,429.18,430.1853
2023-09-25,431.2,429.82289999999966
2023-09-26,430.91,432.00139999999993
2023-09-27,431.04,431.54599999999994
2023-09-28,429.29,432.24069999999995
2023-10-09,432.55,429.4675000000003
2023-10-10,435.67,435.44939999999986
2023-10-11,437.19,435.4259999999998
2023-10-12,435.41,438.02890000000014
2023-10-13,429.41,434.6366999999997
2023-10-16,427.53,430.1922
2023-10-17,425.85,426.14869999999996
2023-10-18,426.9,426.5194999999998
2023-10-19,424.13,426.17139999999984
2023-10-20,422.46,421.7522999999998
2023-10-23,422.08,423.3476999999997
2023-10-24,423.26,421.92369999999954
2023-10-25,423.68,424.3102000000001
2023-10-26,419.83,423.7130000000001
2023-10-27,421.86,421.0093999999998
2023-10-30,420.9,419.36019999999985
2023-10-31,422.48,421.66590000000076
2023-11-01,421.34,424.0219999999999
2023-11-02,425.17,421.96130000000016
2023-11-03,426.57,425.2220999999998
2023-11-06,432.77,426.80819999999994
2023-11-07,431.1,429.13400000000024
2023-11-08,429.22,431.25590000000005
2023-11-09,427.08,428.8054999999999
2023-11-10,426.27,427.89079999999956
2023-11-13,426.38,428.13140000000016
