日期,真实汇率值,随机森林预测值
2019-07-10,6.323,6.352380000000004
2019-07-11,6.3397,6.324713000000002
2019-07-12,6.33,6.313850000000002
2019-07-15,6.3659,6.3418740000000025
2019-07-16,6.3692,6.362634999999996
2019-07-17,6.3606,6.357712000000001
2019-07-18,6.3695,6.348514000000002
2019-07-19,6.3894,6.348925999999999
2019-07-22,6.3803,6.441874000000004
2019-07-23,6.377,6.324749999999998
2019-07-24,6.3639,6.366544000000001
2019-07-25,6.3542,6.348026999999999
2019-07-26,6.3316,6.349634000000002
2019-07-29,6.3362,6.329242000000002
2019-07-30,6.3281,6.319694000000002
2019-07-31,6.3401,6.3204050000000045
2019-08-01,6.3401,6.322514999999998
2019-08-02,6.4179,6.313850000000002
2019-08-05,6.4915,6.449831999999998
2019-08-06,6.5925,6.482179999999999
2019-08-07,6.5839,6.566584999999995
2019-08-08,6.6115,6.601232999999995
2019-08-09,6.6297,6.597580999999996
2019-08-12,6.6684,6.607810999999995
2019-08-13,6.684,6.657553000000002
2019-08-14,6.6152,6.694232999999997
2019-08-15,6.6346,6.5917670000000035
2019-08-16,6.6266,6.6731329999999955
2019-08-19,6.6135,6.613355000000004
2019-08-20,6.6101,6.574828999999999
2019-08-21,6.6289,6.609288999999993
2019-08-22,6.6154,6.615210000000006
2019-08-23,6.6371,6.591884
2019-08-26,6.7235,6.653264999999994
2019-08-27,6.7024,6.733067000000009
2019-08-28,6.7296,6.755875000000003
2019-08-29,6.7174,6.7244290000000015
2019-08-30,6.6845,6.7046400000000075
2019-09-02,6.7054,6.699069999999998
2019-09-03,6.7118,6.727989000000004
2019-09-04,6.7212,6.7465910000000004
2019-09-05,6.6725,6.685235999999999
2019-09-06,6.6456,6.689911000000007
2019-09-09,6.637,6.629700000000002
2019-09-10,6.6183,6.604006999999999
2019-09-11,6.5931,6.622073999999998
2019-09-12,6.5784,6.582350999999993
2019-09-16,6.5626,6.607314000000005
2019-09-17,6.5444,6.543071999999998
2019-09-18,6.5437,6.556727999999997
2019-09-19,6.5373,6.553006999999997
2019-09-20,6.557,6.531006000000002
2019-09-23,6.5769,6.561591000000004
2019-09-24,6.5956,6.573083000000002
2019-09-25,6.6072,6.597106000000002
2019-09-26,6.6018,6.609596
2019-09-27,6.5907,6.595318999999995
2019-09-30,6.5699,6.593917000000001
2019-10-08,6.6102,6.592531000000005
2019-10-09,6.6319,6.618072999999999
2019-10-10,6.6194,6.627199999999996
2019-10-11,6.5679,6.580685999999999
2019-10-14,6.5254,6.563141000000002
2019-10-15,6.5195,6.517495000000006
2019-10-16,6.501,6.542286000000001
2019-10-17,6.5111,6.486227999999999
2019-10-18,6.5081,6.522673999999994
2019-10-21,6.5201,6.476000999999994
2019-10-22,6.5055,6.556178
2019-10-23,6.523,6.509290999999999
2019-10-24,6.5104,6.537384999999997
2019-10-25,6.5133,6.5128309999999985
