日期,真实汇率值,随机森林预测值
2022-12-08,63.122,62.64728
2022-12-09,63.154,63.21678999999994
2022-12-12,63.289,63.14205999999999
2022-12-13,63.352,63.31280000000001
2022-12-14,63.569,63.214639999999925
2022-12-15,63.307,63.63467
2022-12-16,63.309,63.30378999999999
2022-12-19,63.428,63.40289000000001
2022-12-20,63.433,63.42941999999999
2022-12-21,63.642,63.48272999999995
2022-12-22,63.626,63.71957000000007
2022-12-23,63.389,63.68699000000008
2022-12-26,63.357,63.45754999999996
2022-12-27,63.571,63.32183000000003
2022-12-28,63.509,63.55461000000002
2022-12-29,63.381,63.55521999999997
2022-12-30,63.405,63.349310000000024
2023-01-03,63.338,63.46711999999996
2023-01-04,63.766,63.39100000000001
2023-01-05,63.868,63.77150999999998
2023-01-06,63.785,63.97816000000005
2023-01-09,64.286,63.81625000000002
2023-01-10,64.686,64.31954999999998
2023-01-11,64.526,64.62193
2023-01-12,64.509,64.52337000000007
2023-01-13,64.607,64.4583500000001
2023-01-16,64.532,64.50787999999999
2023-01-17,64.184,64.54886000000006
2023-01-18,64.019,64.16909000000001
2023-01-19,63.778,64.03344000000001
2023-01-20,63.568,63.64373
2023-01-30,62.722,63.67669999999999
2023-01-31,62.751,64.25989
2023-02-01,63.233,63.55440000000003
2023-02-02,63.4,63.008510000000015
2023-02-03,63.084,63.43010999999998
2023-02-06,62.883,63.062839999999944
2023-02-07,62.905,62.772120000000015
2023-02-08,63.427,62.90264000000005
2023-02-09,63.344,63.38205000000003
2023-02-10,63.599,63.343300000000006
2023-02-13,63.633,63.70969000000005
2023-02-14,63.918,63.81757000000005
2023-02-15,63.788,64.04187
2023-02-16,64.149,63.903130000000026
2023-02-17,64.262,64.07548999999997
2023-02-20,64.499,64.28775999999999
2023-02-21,64.611,64.48050000000006
2023-02-22,64.503,64.51984000000003
2023-02-23,64.394,64.48713000000002
2023-02-24,64.292,64.31886000000003
2023-02-27,63.881,64.23283000000002
2023-02-28,64.352,64.08118000000005
2023-03-01,64.67,64.28720999999999
2023-03-02,64.985,64.60207999999994
2023-03-03,64.793,64.94436
2023-03-06,64.846,64.82542000000002
2023-03-07,64.72,64.94685000000001
2023-03-08,64.363,64.59682999999998
2023-03-09,64.941,64.41976999999999
2023-03-10,64.867,64.94722999999995
2023-03-13,65.16,64.76540000000004
2023-03-14,65.142,65.14626
2023-03-15,65.208,65.34333999999998
2023-03-16,65.008,65.20634999999999
2023-03-17,65.166,64.86453000000009
2023-03-20,65.235,65.22359999999999
2023-03-21,65.208,65.24479999999994
2023-03-22,65.046,65.32704
2023-03-23,64.83,65.21977999999991
2023-03-24,64.629,64.80988999999991
2023-03-27,64.441,64.68136999999994
2023-03-28,64.26,64.38389999999995
2023-03-29,63.918,64.19740999999993
2023-03-30,64.122,63.95507999999999
2023-03-31,64.262,64.02206999999999
2023-04-03,64.182,64.20684000000003
2023-04-04,64.206,64.07127000000006
2023-04-06,63.985,64.28023000000006
2023-04-07,63.882,63.95926999999996
2023-04-10,64.015,63.984920000000045
2023-04-11,64.033,63.93836999999998
2023-04-12,64.142,64.14244999999995
2023-04-13,64.175,64.24860999999999
2023-04-14,64.13,64.26845
2023-04-17,64.096,64.27685999999993
2023-04-18,64.287,64.05328999999995
2023-04-19,64.445,64.30890999999995
2023-04-20,64.366,64.21669000000009
2023-04-21,64.498,64.11382000000006
2023-04-24,64.439,64.56348999999997
2023-04-25,64.266,64.20848000000008
2023-04-26,64.284,64.30420000000002
2023-04-27,64.389,64.28503
2023-04-28,64.403,64.42494999999995
2023-05-04,64.547,64.44835999999992
