日期,真实汇率值,随机森林预测值
2021-03-25,771.09,772.7812999999992
2021-03-26,769.85,772.3093999999996
2021-03-29,771.04,768.0103999999995
2021-03-30,772.46,772.4432000000002
2021-03-31,770.28,772.2788
2021-04-01,769.05,771.6855000000005
2021-04-02,773.08,770.3756999999989
2021-04-06,774.33,773.2874999999999
2021-04-07,776.32,779.6255
2021-04-08,776.92,777.8344999999999
2021-04-09,779.43,778.0599000000011
2021-04-12,780.41,780.0432000000001
2021-04-13,779.68,779.472
2021-04-14,781.22,778.1793999999999
2021-04-15,782.45,779.8346999999999
2021-04-16,781.37,783.6319000000003
2021-04-19,780.88,782.1492
2021-04-20,783.73,779.8862000000003
2021-04-21,782.93,782.6392000000003
2021-04-22,781.09,783.1543999999991
2021-04-23,780.2,780.3353000000005
2021-04-26,784.72,780.4073000000003
2021-04-27,784.23,783.702000000001
2021-04-28,783.95,783.0276999999999
2021-04-29,785.21,783.1018000000003
2021-04-30,783.97,784.6704000000004
2021-05-06,779.05,782.8790999999993
2021-05-07,780.03,778.0461
2021-05-10,783.59,780.1833000000001
2021-05-11,779.44,783.0780999999995
2021-05-12,780.27,779.3457
2021-05-13,780.23,777.3530000000002
2021-05-14,779.2,779.5635000000003
2021-05-17,781.08,780.0450000000003
2021-05-18,782.33,780.3166000000004
2021-05-19,785.33,781.4837000000001
2021-05-20,784.91,785.7860999999996
2021-05-21,786.15,784.7900000000005
2021-05-24,784.51,784.1382000000001
2021-05-25,785.03,783.0647000000005
2021-05-26,785.17,785.7965000000003
2021-05-27,780.66,784.5463000000001
2021-05-28,778.22,780.0491999999999
2021-05-31,776.16,781.0045000000002
2021-06-01,777.2,776.8328000000005
2021-06-02,779.05,779.643499999999
2021-06-03,778.95,778.1339999999999
2021-06-04,777.13,778.6255
2021-06-07,777.89,778.2049999999987
2021-06-08,778.96,777.7330000000001
2021-06-09,778.49,778.4216000000008
2021-06-10,778.89,779.0319999999999
2021-06-11,777.29,779.8710999999998
2021-06-15,776.43,778.6614999999999
2021-06-16,776.85,776.1932000000002
2021-06-17,770.65,776.7340999999999
2021-06-18,766.71,768.061
2021-06-21,766.47,766.3157000000007
2021-06-22,769.82,767.0649000000008
2021-06-23,771.44,768.7034999999996
2021-06-24,773.26,771.2742000000002
2021-06-25,772.34,773.0595999999996
2021-06-28,770.91,772.5117
2021-06-29,769.95,770.0716999999999
2021-06-30,768.62,769.3090999999996
2021-07-01,767.01,769.7143999999998
2021-07-02,766.34,763.6098000000004
2021-07-05,767.16,765.2493000000004
2021-07-06,766.57,763.2962999999999
2021-07-07,765.38,764.2350999999994
2021-07-08,763.23,765.0660000000008
2021-07-09,766.82,764.4578999999999
2021-07-12,768.89,766.5326000000003
2021-07-13,768.13,769.8634000000001
2021-07-14,763.2,773.8409999999997
2021-07-15,764.83,766.5263999999999
2021-07-16,764.12,767.0792999999998
2021-07-19,764.08,766.1008
2021-07-20,764.81,766.9731000000004
2021-07-21,763.75,765.0239000000007
2021-07-22,762.36,764.3322000000001
2021-07-23,761.22,761.2865000000003
2021-07-26,762.43,761.3846000000001
2021-07-27,764.18,761.3365000000002
2021-07-28,767.41,765.5424999999999
2021-07-29,769.32,766.8499000000002
2021-07-30,767.91,767.1409000000001
2021-08-02,767.25,767.5543000000009
2021-08-03,767.14,766.5272999999996
2021-08-04,767.3,765.4968999999996
2021-08-05,765.79,765.5447999999997
2021-08-06,764.66,765.8890999999999
2021-08-09,761.81,764.0977
2021-08-10,761.0,761.5732999999994
2021-08-11,759.79,760.2358000000002
2021-08-12,760.34,760.1129000000005
