日期,真实汇率值,随机森林预测值
2024-03-14,235.04,237.02659999999997
2024-03-15,235.22,235.68520000000024
2024-03-18,235.45,235.1768000000001
2024-03-19,237.2,235.86210000000003
2024-03-20,236.68,237.26340000000022
2024-03-21,235.31,238.18949999999998
2024-03-22,235.71,235.23199999999997
2024-03-25,235.76,235.6151
2024-03-26,235.02,235.4018
2024-03-27,234.65,234.79
2024-03-28,233.35,235.22790000000023
2024-03-29,233.93,232.44219999999993
2024-04-01,233.33,235.4448000000001
2024-04-02,233.98,232.27280000000016
2024-04-03,233.47,235.52930000000003
2024-04-08,232.21,232.79380000000023
2024-04-09,230.18,232.87280000000024
2024-04-10,230.88,233.83909999999986
2024-04-11,231.83,233.21360000000004
2024-04-12,231.61,233.93529999999973
2024-04-15,233.3,233.37849999999995
2024-04-16,234.4,234.0064000000001
2024-04-17,238.78,235.49470000000008
2024-04-18,237.95,238.93189999999998
2024-04-19,239.4,238.53100000000006
2024-04-22,239.55,240.56020000000018
2024-04-23,241.13,240.41410000000033
2024-04-24,238.92,240.28520000000023
2024-04-25,240.4,238.34769999999978
2024-04-26,242.15,240.22909999999996
2024-04-29,241.54,242.41629999999995
2024-04-30,239.53,241.85530000000014
2024-05-06,239.36,239.01210000000006
2024-05-07,237.75,239.00919999999994
2024-05-08,238.11,238.29830000000015
2024-05-09,238.13,238.4297000000002
2024-05-10,236.51,238.6155000000001
2024-05-13,236.25,235.99519999999973
2024-05-14,236.51,235.96429999999987
2024-05-15,237.17,236.0846999999997
2024-05-16,235.17,238.42250000000004
2024-05-17,234.93,235.5758
2024-05-20,233.62,235.51360000000005
2024-05-21,232.96,235.00480000000007
2024-05-22,233.86,231.71600000000018
2024-05-23,234.31,235.10010000000005
2024-05-24,235.2,235.4380000000002
2024-05-27,234.59,234.7428000000001
2024-05-28,234.67,235.48190000000005
2024-05-29,236.23,235.72030000000024
2024-05-30,239.36,235.86849999999984
2024-05-31,239.24,239.6929
2024-06-03,238.77,239.1735999999999
2024-06-04,248.65,238.2107999999998
2024-06-05,250.58,250.70130000000023
2024-06-06,246.35,251.11140000000026
2024-06-07,251.8,250.54780000000025
2024-06-11,259.42,250.48489999999984
2024-06-12,260.96,259.5052000000002
2024-06-13,264.04,261.37340000000034
2024-06-14,259.37,263.8557999999998
2024-06-17,259.95,259.5127000000002
2024-06-18,260.77,259.2494000000001
2024-06-19,259.16,261.2477000000003
2024-06-20,259.4,259.07390000000015
2024-06-21,257.89,259.6005000000001
2024-06-24,254.59,260.81439999999986
2024-06-25,252.5,253.8996999999999
2024-06-26,254.78,251.5363000000001
2024-06-27,257.21,253.75979999999993
