日期,真实汇率值,随机森林预测值
2024-06-07,507.89,511.2804000000001
2024-06-11,511.53,508.3549000000006
2024-06-12,511.25,511.98569999999984
2024-06-13,510.86,513.3371999999995
2024-06-14,511.27,512.3215999999992
2024-06-17,510.42,511.4223000000001
2024-06-18,512.62,510.88830000000024
2024-06-19,511.16,512.5462000000003
2024-06-20,510.83,512.8791999999997
2024-06-21,511.0,512.1984999999991
2024-06-24,511.08,510.8449999999994
2024-06-25,511.07,512.0039999999995
2024-06-26,510.76,511.5759999999999
2024-06-27,513.17,512.5076999999994
2024-06-28,512.4,512.4062000000006
2024-07-01,511.51,511.5749999999995
2024-07-02,510.64,511.7054999999996
2024-07-03,512.21,511.9229999999992
2024-07-04,510.22,512.1716999999996
2024-07-05,509.27,510.9735
2024-07-08,507.11,510.93520000000035
2024-07-09,506.51,506.8671
2024-07-10,505.79,506.1184000000002
2024-07-11,504.66,505.3715000000004
2024-07-12,502.53,503.7404000000001
2024-07-15,503.36,502.28789999999987
2024-07-16,502.73,502.5996000000003
2024-07-17,500.89,501.32480000000015
2024-07-18,499.98,500.3650000000005
2024-07-19,502.05,500.5881000000003
2024-07-22,504.22,501.9002999999999
2024-07-23,504.94,503.9276999999997
2024-07-24,502.09,505.25880000000006
2024-07-25,502.1,500.7431
2024-07-26,504.89,500.8705000000002
2024-07-29,500.81,505.77199999999976
2024-07-30,500.18,500.2386999999996
2024-07-31,499.35,499.06170000000026
2024-08-01,495.86,499.4569999999999
2024-08-02,494.95,495.9084000000005
2024-08-05,494.94,496.327
2024-08-06,496.7,496.2019000000001
2024-08-07,496.56,496.99070000000023
2024-08-08,497.22,497.1506000000001
2024-08-09,493.04,496.6956000000004
2024-08-12,492.3,492.83429999999976
2024-08-13,490.51,492.9090000000007
2024-08-14,490.22,490.98399999999964
2024-08-15,491.14,490.97129999999953
2024-08-16,489.54,491.0971999999999
2024-08-19,484.31,490.4759
2024-08-20,482.22,485.16019999999975
2024-08-21,479.12,483.75739999999985
2024-08-22,481.03,481.3450999999999
2024-08-23,482.83,482.7638999999999
2024-08-26,477.31,482.0399000000003
2024-08-27,477.15,478.1616999999999
2024-08-28,476.29,478.2552999999999
2024-08-29,477.41,477.15340000000026
2024-08-30,477.18,476.41650000000067
2024-09-02,479.63,477.40700000000055
2024-09-03,480.97,481.5413000000003
2024-09-04,481.29,480.3377000000006
2024-09-05,478.74,480.1283000000005
2024-09-06,474.11,479.03220000000033
2024-09-09,475.01,473.38819999999964
2024-09-10,476.38,474.6582000000003
2024-09-11,472.82,475.8254000000002
2024-09-12,474.39,473.66449999999975
2024-09-13,470.21,472.92849999999976
2024-09-18,470.69,470.51160000000004
2024-09-19,470.63,472.51229999999964
2024-09-20,468.79,473.3670999999997
2024-09-23,467.23,467.99980000000005
2024-09-24,467.21,467.5776000000002
2024-09-25,464.74,465.7280000000004
2024-09-26,465.09,464.70330000000007
2024-09-27,462.68,464.7148999999998
2024-09-30,461.92,462.6797999999992
2024-10-08,473.71,462.26809999999955
2024-10-09,475.08,474.86879999999974
2024-10-10,473.63,474.7107
2024-10-11,472.81,474.8513999999995
2024-10-14,470.03,472.2518000000002
2024-10-15,469.91,471.6874999999997
2024-10-16,468.19,471.50189999999964
2024-10-17,466.25,468.1476999999999
2024-10-18,465.75,465.53070000000014
2024-10-21,466.39,465.2230000000001
2024-10-22,470.4,466.9453999999998
2024-10-23,470.22,471.43889999999953
2024-10-24,474.13,471.7465999999996
2024-10-25,473.75,474.49569999999994
2024-10-28,473.32,474.9774999999995
2024-10-29,473.95,474.7108999999997
2024-10-30,471.79,474.43080000000015
2024-10-31,473.67,472.24089999999984
2024-11-01,475.4,473.9564000000001
2024-11-04,475.97,475.6287000000001
2024-11-05,475.35,475.82400000000047
2024-11-06,473.5,475.60229999999933
2024-11-07,479.06,474.0183000000003
2024-11-08,476.51,479.13689999999997
2024-11-11,477.49,476.2138000000005
2024-11-12,479.54,477.2708000000006
2024-11-13,481.21,480.26660000000004
2024-11-14,482.81,480.79930000000036
2024-11-15,483.87,483.25339999999966
2024-11-18,481.51,484.51270000000045
2024-11-19,479.48,480.4843000000001
2024-11-20,477.59,479.6466999999998
2024-11-21,478.72,476.4811000000002
2024-11-22,479.81,479.32190000000065
2024-11-25,476.35,481.8495000000006
2024-11-26,479.69,478.0231
2024-11-27,479.86,481.8346000000004
2024-11-28,477.63,479.78619999999944
2024-11-29,476.49,476.3645000000004
2024-12-02,475.98,475.56410000000056
2024-12-03,476.58,475.13569999999976
2024-12-04,473.75,476.0824000000007
2024-12-05,473.27,472.9427999999996
2024-12-06,472.63,473.47209999999956
2024-12-09,470.45,472.00910000000033
2024-12-10,466.62,470.33540000000016
2024-12-11,466.34,465.61610000000013
2024-12-12,467.69,465.6234000000001
2024-12-13,468.5,467.7737999999999
2024-12-16,471.22,468.3018999999999
2024-12-17,469.87,472.8190000000005
2024-12-18,471.75,471.63139999999964
2024-12-19,474.64,471.17910000000006
2024-12-20,476.01,474.2374000000003
2024-12-23,473.29,476.3264000000004
2024-12-24,472.02,474.56110000000024
2024-12-25,470.54,471.6371
2024-12-26,470.83,472.0990999999996
2024-12-27,470.26,473.44449999999966
2024-12-30,469.13,470.6938000000001
2024-12-31,470.28,467.86129999999997
2025-01-02,471.32,470.4013999999998
2025-01-03,473.04,473.60580000000033
2025-01-06,474.55,473.5399999999995
2025-01-07,476.55,474.5373000000004
2025-01-08,474.62,476.8388000000005
2025-01-09,475.6,474.4175000000006
2025-01-10,474.54,476.20990000000006
2025-01-13,475.89,474.54480000000035
2025-01-14,477.13,476.3374
2025-01-15,476.79,476.6902000000004
