日期,真实汇率值,随机森林预测值
2019-07-10,88.158,88.23018999999995
2019-07-11,87.834,88.14067000000001
2019-07-12,87.779,87.88114999999998
2019-07-15,87.726,87.73822999999994
2019-07-16,87.784,87.72341
2019-07-17,88.07,87.72990999999995
2019-07-18,88.024,88.08888999999994
2019-07-19,87.844,88.04937999999999
2019-07-22,88.131,87.87261000000007
2019-07-23,88.111,88.10592500000004
2019-07-24,88.158,88.09826000000007
2019-07-25,87.961,88.10315000000003
2019-07-26,88.025,87.91900000000007
2019-07-29,88.03,88.02115999999992
2019-07-30,88.051,88.13772000000003
2019-07-31,87.984,88.03552000000002
2019-08-01,88.066,87.95168000000008
2019-08-02,88.219,88.08190000000002
2019-08-05,88.443,88.27703
2019-08-06,88.837,88.49632000000001
2019-08-07,89.308,88.74215
2019-08-08,89.323,89.35739
2019-08-09,89.433,89.35575000000003
2019-08-12,89.539,89.33959000000004
2019-08-13,89.637,89.34107000000007
2019-08-14,89.616,89.45037000000002
2019-08-15,89.657,89.48864999999995
2019-08-16,89.681,89.59958999999999
2019-08-19,89.712,89.59558000000003
2019-08-20,89.811,89.61023000000006
2019-08-21,89.809,89.58454999999996
2019-08-22,89.888,89.66390999999997
2019-08-23,90.044,89.70716
2019-08-26,89.983,89.76588000000001
2019-08-27,90.259,89.73569000000006
2019-08-28,90.281,89.88188000000005
2019-08-29,90.337,89.91746
2019-08-30,90.332,89.92472000000004
2019-09-02,90.404,89.91862999999998
2019-09-03,90.375,89.99361999999999
2019-09-04,90.349,89.93510999999995
2019-09-05,90.381,90.01149
2019-09-06,90.403,90.01356999999999
2019-09-09,90.356,90.04929999999999
2019-09-10,90.378,90.01791999999999
2019-09-11,90.345,90.10069999999996
2019-09-12,90.415,90.03717999999998
2019-09-16,90.284,90.07132999999997
2019-09-17,90.478,90.03657999999996
2019-09-18,90.373,90.20300000000005
2019-09-19,90.33,90.03830999999997
2019-09-20,90.32,90.03657999999996
2019-09-23,90.258,90.02033
2019-09-24,90.255,90.09557000000001
2019-09-25,90.213,90.00984000000003
2019-09-26,90.247,90.19377999999998
2019-09-27,90.212,90.03457999999999
2019-09-30,90.201,90.03819
2019-10-08,90.181,90.03465
2019-10-09,90.169,90.03334000000001
2019-10-10,90.16,90.03370000000001
2019-10-11,90.187,90.02523999999995
2019-10-14,90.168,90.03334000000001
2019-10-15,90.133,90.02659999999997
2019-10-16,90.173,90.00793999999996
2019-10-17,90.248,90.02871999999998
2019-10-18,90.136,90.00497999999999
2019-10-21,90.136,90.01359999999997
2019-10-22,90.111,90.01039999999998
2019-10-23,90.219,89.90189999999997
2019-10-24,90.227,90.02975999999998
2019-10-25,90.274,90.02266999999998
2019-10-28,90.277,90.00976
2019-10-29,90.071,90.00775999999998
2019-10-30,90.035,89.89661999999997
2019-10-31,90.001,89.82464999999996
2019-11-01,89.88,89.81061999999994
2019-11-04,89.779,89.85339999999997
2019-11-05,89.792,89.86861999999998
2019-11-06,89.473,89.86925999999998
2019-11-07,89.471,89.62883000000005
2019-11-08,89.402,89.62883000000005
2019-11-11,89.327,89.31120999999993
2019-11-12,89.4,89.35701999999996
2019-11-13,89.451,89.26037999999991
2019-11-14,89.507,89.51863999999999
