日期,真实汇率值,随机森林预测值
2023-03-13,460.34,457.5327000000003
2023-03-14,459.11,458.38990000000007
2023-03-15,459.36,459.6963000000002
2023-03-16,457.94,459.1147000000001
2023-03-17,460.09,458.9308999999996
2023-03-20,461.15,458.2359000000007
2023-03-21,461.63,461.8607000000003
2023-03-22,458.39,462.38469999999995
2023-03-23,459.99,458.85649999999987
2023-03-24,456.71,459.21200000000056
2023-03-27,457.03,456.30480000000045
2023-03-28,457.8,458.43800000000033
2023-03-29,461.01,457.67459999999994
2023-03-30,460.19,459.69630000000006
2023-03-31,461.31,460.6005000000003
2023-04-03,459.03,461.6858000000003
2023-04-04,466.39,460.72000000000014
2023-04-06,462.09,470.69800000000004
2023-04-07,459.2,460.7449
2023-04-10,458.68,459.1839000000003
2023-04-11,457.88,459.1929000000003
2023-04-12,457.95,456.88879999999983
2023-04-13,459.73,458.7098999999996
2023-04-14,465.38,458.0574000000004
2023-04-17,460.51,466.8365999999996
2023-04-18,461.09,460.0243000000005
2023-04-19,462.69,462.37700000000035
2023-04-20,462.49,462.6067999999998
2023-04-21,463.55,461.2718
2023-04-24,460.71,464.41260000000074
2023-04-25,461.33,458.5992000000002
2023-04-26,459.2,459.38429999999994
2023-04-27,457.31,459.0268000000003
2023-04-28,458.94,459.9329
2023-05-04,458.88,458.13150000000047
2023-05-05,463.16,456.6748000000004
2023-05-08,466.94,461.74840000000006
2023-05-09,469.55,466.80150000000054
2023-05-10,468.82,471.25640000000004
2023-05-11,468.77,468.7178
2023-05-12,465.62,469.4041000000003
2023-05-15,462.79,464.56139999999976
2023-05-16,465.97,462.70079999999973
2023-05-17,464.18,469.5215999999996
2023-05-18,466.12,463.4436000000003
2023-05-19,466.45,467.79629999999975
2023-05-22,466.79,468.3957000000001
2023-05-23,467.72,466.1736999999999
2023-05-24,466.5,469.53200000000004
2023-05-25,461.35,467.4639000000001
2023-05-26,460.09,457.8285999999992
2023-05-29,460.59,458.6898000000001
2023-05-30,462.73,458.2087000000005
2023-05-31,461.61,462.26299999999935
2023-06-01,461.8,462.17669999999976
2023-06-02,466.48,462.3295000000001
2023-06-05,467.93,467.8570000000005
2023-06-06,470.25,467.69790000000023
2023-06-07,475.37,471.5754000000002
2023-06-08,474.42,476.80129999999986
2023-06-09,477.49,473.9283000000004
2023-06-12,480.32,477.3948000000004
2023-06-13,482.72,477.6350000000004
2023-06-14,484.35,481.4686999999994
2023-06-15,485.88,483.1404
2023-06-16,490.43,484.94100000000054
2023-06-19,489.35,485.9249
2023-06-20,490.73,488.4235000000003
2023-06-21,487.41,489.3573999999997
2023-06-26,481.72,486.16890000000035
2023-06-27,481.99,481.7600000000005
2023-06-28,481.74,483.6204999999999
2023-06-29,478.93,481.34409999999997
2023-06-30,479.92,478.2762000000001
2023-07-03,482.31,477.30839999999984
2023-07-04,483.1,482.4091999999997
2023-07-05,482.83,482.27170000000007
2023-07-06,482.41,483.4424000000004
2023-07-07,480.2,483.6043000000004
2023-07-10,481.98,481.1394000000005
2023-07-11,481.97,482.3281000000004
2023-07-12,481.41,483.2131000000005
2023-07-13,486.18,479.9211
2023-07-14,491.85,485.1230999999996
2023-07-17,487.95,489.7648000000001
2023-07-18,488.75,489.20850000000013
2023-07-19,489.14,487.5289000000002
2023-07-20,488.92,487.60330000000044
2023-07-21,487.5,487.9819000000002
2023-07-24,483.11,486.55910000000017
2023-07-25,485.11,484.3495000000001
2023-07-26,484.28,483.7287
2023-07-27,483.13,482.64580000000024
2023-07-28,480.63,482.3021000000003
2023-07-31,476.4,480.6735000000003
2023-08-01,480.16,476.5912999999996
2023-08-02,473.96,478.77890000000036
2023-08-03,470.28,471.32319999999964
2023-08-04,470.8,472.9744999999999
2023-08-07,470.89,473.5827999999997
2023-08-08,472.18,472.9040999999996
2023-08-09,471.72,474.4265000000003
2023-08-10,470.49,471.0465000000002
2023-08-11,470.23,471.31060000000014
2023-08-14,469.73,471.40610000000015
2023-08-15,470.81,469.03030000000007
2023-08-16,469.98,470.8346999999999
