日期,真实汇率值,随机森林预测值
2025-08-12,113.29,113.33140000000002
2025-08-13,113.37,113.4126000000001
2025-08-14,113.39,113.37230000000001
2025-08-15,113.17,113.41430000000003
2025-08-18,113.1,113.16740000000007
2025-08-19,112.94,113.15669999999994
2025-08-20,112.65,112.73788333333323
2025-08-21,112.93,112.57644999999998
2025-08-22,112.88,112.75378333333329
2025-08-25,113.17,112.7416666666667
2025-08-26,113.04,113.22580000000002
2025-08-27,112.87,113.1306999999999
2025-08-28,112.92,112.93854999999998
2025-08-29,113.05,112.92510000000004
2025-09-01,113.04,113.11310000000005
2025-09-02,113.01,113.0896
2025-09-03,113.13,112.97506666666658
2025-09-04,113.1,113.10159999999996
2025-09-05,113.11,113.11160000000005
2025-09-08,113.16,113.12419999999996
2025-09-09,113.12,113.1615000000001
2025-09-10,112.97,113.10989999999998
2025-09-11,113.01,112.92507523809519
2025-09-12,112.95,112.97829999999988
2025-09-15,112.83,112.89477499999988
2025-09-16,112.89,113.01579999999993
2025-09-17,112.9,112.88336666666663
2025-09-18,112.75,112.89779999999998
2025-09-19,112.68,112.79648999999999
2025-09-22,112.62,112.69923999999996
2025-09-23,112.68,112.5915499999999
2025-09-24,112.71,112.6822
2025-09-25,112.7,112.78945
2025-09-26,112.7,112.7763166666667
2025-09-29,112.79,112.7939
2025-09-30,112.87,112.86599999999999
2025-10-09,112.77,112.9316
2025-10-10,112.88,112.8742
2025-10-13,112.94,112.95913333333341
2025-10-14,112.86,112.95720000000007
2025-10-15,112.83,112.93183333333336
2025-10-16,112.88,112.84541428571433
2025-10-17,112.85,112.93390000000005
2025-10-20,112.79,112.86323333333327
2025-10-21,112.88,112.81910000000008
2025-10-22,112.87,112.93269999999997
2025-10-23,112.93,112.88085000000007
2025-10-24,112.92,112.93809999999998
2025-10-27,112.94,112.92689999999999
2025-10-28,112.96,112.89469999999996
2025-10-29,112.99,113.0097999999999
2025-10-30,113.01,112.92866666666664
2025-10-31,112.97,112.94669999999996
2025-11-03,113.02,112.91060023809523
2025-11-04,113.02,112.94229999999999
2025-11-05,113.0,112.95470000000002
2025-11-06,113.05,112.93920000000001
2025-11-07,113.1,113.10530000000006
2025-11-10,113.11,113.11579999999996
2025-11-11,113.07,113.10360000000003
2025-11-12,113.1,113.11079999999993
2025-11-13,113.03,113.11579999999996
2025-11-14,113.09,113.05950000000001
2025-11-17,113.1,113.1232
2025-11-18,113.06,113.17230000000004
2025-11-19,113.22,113.1496999999999
2025-11-20,113.16,113.2192
2025-11-21,113.2,113.2207000000001
2025-11-24,113.2,113.16419999999998
2025-11-25,113.22,113.18259999999995
2025-11-26,113.2,113.2245
2025-11-27,113.27,113.18569999999994
2025-11-28,113.29,113.20219999999999
2025-12-01,113.43,113.30980000000001
2025-12-02,113.39,113.40090000000009
2025-12-03,113.36,113.31640000000016
2025-12-04,113.38,113.29080000000009
2025-12-05,113.3,113.31040000000016
2025-12-08,113.35,113.24949999999994
2025-12-09,113.21,113.38769999999998
2025-12-10,113.35,113.31759999999991
2025-12-11,113.37,113.3702999999999
2025-12-12,113.54,113.36580000000002
2025-12-15,113.54,113.65765000000017
2025-12-16,113.57,113.71875000000014
2025-12-17,113.63,113.73435000000009
2025-12-18,113.57,113.86430000000006
2025-12-19,113.65,113.73435000000009
2025-12-22,113.56,113.76630000000006
2025-12-23,113.66,113.5815683333333
2025-12-24,113.66,113.57799999999993
2025-12-25,113.78,113.60492499999997
2025-12-26,113.82,113.70999999999998
2025-12-29,113.87,113.84330000000001
2025-12-30,113.93,113.87180000000009
2025-12-31,114.12,113.8423
