日期,真实汇率值,随机森林预测值
2024-03-14,143.66,143.8985999999999
2024-03-15,145.07,143.5908
2024-03-18,145.41,145.2880000000001
2024-03-19,146.41,145.3095
2024-03-20,146.35,146.8383999999999
2024-03-21,145.82,146.3365
2024-03-22,146.63,145.88669999999973
2024-03-25,147.86,147.12439999999992
2024-03-26,148.42,148.40100000000004
2024-03-27,148.57,148.27270000000013
2024-03-28,149.26,148.87520000000012
2024-03-29,150.37,149.40559999999994
2024-04-01,149.88,149.85
2024-04-02,151.1,150.3416
2024-04-03,150.7,151.06680000000006
2024-04-08,149.49,150.67760000000004
2024-04-09,148.15,149.57359999999997
2024-04-10,147.95,147.62179999999987
2024-04-11,150.08,148.8672
2024-04-12,150.3,150.3642000000002
2024-04-15,151.5,149.52569999999994
2024-04-16,151.98,152.07839999999987
2024-04-17,152.9,152.3254999999999
2024-04-18,153.42,153.16609999999997
2024-04-19,153.71,153.37650000000008
2024-04-22,153.01,154.02340000000015
2024-04-23,152.46,153.14349999999996
2024-04-24,151.6,153.24470000000005
2024-04-25,152.47,151.4563999999998
2024-04-26,152.49,152.89439999999973
2024-04-29,152.92,152.25919999999985
2024-04-30,153.21,152.86479999999975
2024-05-06,151.71,153.0968999999998
2024-05-07,151.7,151.35150000000016
2024-05-08,152.29,151.36400000000003
2024-05-09,152.86,152.25430000000014
2024-05-10,152.23,152.6486999999999
2024-05-13,151.99,152.9341999999999
2024-05-14,151.99,151.83330000000004
2024-05-15,151.52,151.71140000000005
2024-05-16,149.71,151.1514
2024-05-17,150.32,149.89819999999972
2024-05-20,150.08,149.18349999999987
2024-05-21,149.72,150.41339999999994
2024-05-22,149.69,149.8325999999997
2024-05-23,150.26,149.84189999999973
2024-05-24,150.21,149.59929999999997
2024-05-27,149.38,149.91480000000027
2024-05-28,148.73,149.56899999999987
2024-05-29,148.08,149.0999999999999
2024-05-30,149.24,147.1833
2024-05-31,148.32,148.2349
2024-06-03,147.5,148.66949999999989
2024-06-04,145.94,147.67900000000006
2024-06-05,146.15,146.8202999999998
2024-06-06,145.49,147.0244999999998
2024-06-07,145.47,145.39029999999985
2024-06-11,146.48,145.0790999999999
2024-06-12,146.61,146.8355999999999
2024-06-13,145.36,146.84819999999988
2024-06-14,146.5,145.30200000000002
2024-06-17,147.03,146.74990000000008
2024-06-18,146.49,147.0624999999999
2024-06-19,146.21,147.13649999999998
2024-06-20,146.02,146.34189999999995
2024-06-21,146.64,146.84589999999977
2024-06-24,146.77,147.28499999999985
2024-06-25,146.54,146.6813999999999
2024-06-26,146.82,146.6155999999998
2024-06-27,147.26,146.6548999999999
2024-06-28,148.44,147.04089999999994
2024-07-01,147.81,148.40570000000017
2024-07-02,148.06,147.97600000000008
2024-07-03,147.67,147.64930000000012
2024-07-04,146.54,147.7939999999999
2024-07-05,146.65,146.6122
2024-07-08,146.69,147.56349999999983
2024-07-09,147.62,146.9172999999999
2024-07-10,147.2,147.60139999999987
2024-07-11,147.14,146.77189999999987
2024-07-12,146.83,146.97089999999977
2024-07-15,147.17,146.58839999999992
2024-07-16,147.99,146.87259999999975
2024-07-17,147.85,148.30110000000002
2024-07-18,147.36,148.5274000000001
2024-07-19,147.82,147.52239999999986
2024-07-22,148.48,148.33890000000014
2024-07-23,149.6,148.2903000000001
2024-07-24,150.22,149.68919999999991
2024-07-25,150.41,150.5613000000001
2024-07-26,151.38,149.62519999999998
