日期,真实汇率值,随机森林预测值
2023-12-21,824.31,831.9467000000003
2023-12-22,829.22,830.6523000000001
2023-12-25,829.34,830.8540000000005
2023-12-26,830.29,827.9041000000007
2023-12-27,832.27,830.9322000000002
2023-12-28,842.71,828.3882000000002
2023-12-29,841.84,830.0207
2024-01-02,841.94,830.1126
2024-01-03,837.12,828.8758000000003
2024-01-04,838.55,829.8748000000003
2024-01-05,837.31,830.1118000000004
2024-01-08,836.01,830.1535000000003
2024-01-09,838.7,829.5905000000001
2024-01-10,835.38,829.6008000000002
2024-01-11,837.37,829.5596000000002
2024-01-12,836.02,829.6193000000002
2024-01-15,835.1,829.6090000000003
2024-01-16,833.18,829.4626000000003
2024-01-17,830.12,827.8694
2024-01-18,826.45,825.6888000000002
2024-01-19,822.4,825.4669000000005
2024-01-22,821.02,821.7665999999995
2024-01-23,821.29,820.7921999999993
2024-01-24,819.47,820.8207999999993
2024-01-25,824.11,820.0565999999993
2024-01-26,821.81,822.4936999999996
2024-01-29,825.19,821.1219999999989
2024-01-30,827.23,827.4864000000001
2024-01-31,826.51,825.9243000000005
2024-02-01,826.89,825.7822000000004
2024-02-02,829.65,826.4129000000005
2024-02-05,821.88,827.0755000000006
2024-02-06,819.91,822.3806000000003
2024-02-07,818.88,820.6808
2024-02-08,815.14,819.3722000000001
2024-02-09,816.68,816.1378999999998
2024-02-19,809.74,817.2577000000002
2024-02-20,807.54,810.0813999999996
2024-02-21,807.6,805.5984999999994
2024-02-22,810.05,805.7316999999994
2024-02-23,809.5,812.2708999999995
2024-02-26,809.46,810.0952999999997
2024-02-27,809.57,808.1259999999993
2024-02-28,810.88,811.5476000000003
2024-02-29,811.42,813.9773000000002
2024-03-01,805.74,813.9827000000001
2024-03-04,806.2,807.2152999999993
2024-03-05,804.98,807.9999999999993
2024-03-06,806.29,806.3538000000002
2024-03-07,805.91,808.1801999999993
2024-03-08,810.52,807.3298999999992
2024-03-11,811.09,812.7893999999998
2024-03-12,811.2,813.8662000000004
2024-03-13,811.52,813.9003000000002
2024-03-14,808.99,813.6162000000003
2024-03-15,806.52,809.1360000000003
2024-03-18,806.65,807.9792999999995
2024-03-19,802.66,808.2449999999995
2024-03-20,802.51,800.9231000000003
2024-03-21,803.04,799.9395
2024-03-22,795.43,803.5326000000001
2024-03-25,795.19,794.1960999999995
2024-03-26,791.74,793.1675999999992
2024-03-27,788.41,789.8006000000008
2024-03-28,787.38,788.7225999999998
2024-03-29,790.74,789.8327000000004
2024-04-01,789.82,791.3142000000003
2024-04-02,788.89,791.5846000000003
2024-04-03,784.69,789.3953999999999
2024-04-08,788.34,790.1354000000007
2024-04-09,787.08,790.4405
2024-04-10,789.16,790.8654000000001
2024-04-11,782.54,790.0063999999999
2024-04-12,783.75,786.2646
2024-04-15,782.18,790.8849999999998
2024-04-16,783.02,785.9899999999997
2024-04-17,782.7,786.3136999999998
2024-04-18,782.71,786.2696
2024-04-19,782.2,786.2696
2024-04-22,783.06,780.4642999999998
2024-04-23,782.79,785.3665000000001
2024-04-24,781.92,781.2158999999999
2024-04-25,780.45,780.8255999999997
2024-04-26,781.82,781.3366999999997
2024-04-29,782.08,780.4030999999999
2024-04-30,783.19,780.6508999999996
2024-05-06,786.39,781.7569999999998
2024-05-07,786.09,786.4165000000007
2024-05-08,784.94,787.7505000000004
2024-05-09,785.44,785.9566000000003
2024-05-10,786.43,786.5756000000002
2024-05-13,786.94,787.4680000000003
2024-05-14,785.13,786.8631000000006
2024-05-15,786.34,790.2178000000006
2024-05-16,789.71,791.2758000000006
2024-05-17,786.41,792.0681999999998
2024-05-20,784.4,790.8221000000005
2024-05-21,784.01,791.0722000000006
2024-05-22,783.56,790.9715000000006
2024-05-23,780.56,790.6196999999997
2024-05-24,781.42,786.7339999999998
2024-05-27,780.36,785.9365999999999
2024-05-28,781.04,786.7344999999997
2024-05-29,782.83,786.4260999999997
2024-05-30,783.33,786.0880999999999
2024-05-31,790.16,786.8977999999998
2024-06-03,791.35,788.7887000000001
2024-06-04,796.35,788.6009000000001
2024-06-05,802.23,794.7246000000005
2024-06-06,799.92,795.6789
2024-06-07,802.28,794.4516999999998
2024-06-11,796.53,796.7211999999998
2024-06-12,794.99,799.3900000000011
2024-06-13,796.72,798.6257000000006
2024-06-14,798.58,798.7312000000006
2024-06-17,801.63,799.1320000000003
2024-06-18,802.68,802.1746000000007
2024-06-19,806.06,801.7313000000006
