日期,真实汇率值,随机森林预测值
2024-03-14,5097.84,5124.904300000003
2024-03-15,5116.71,5069.643299999999
2024-03-18,5080.69,5116.976399999999
2024-03-19,5116.56,5071.4552
2024-03-20,5112.85,5100.538099999996
2024-03-21,5076.36,5108.625100000001
2024-03-22,5099.98,5095.527999999997
2024-03-25,5170.49,5063.297799999999
2024-03-26,5158.29,5163.416200000005
2024-03-27,5145.47,5182.581400000003
2024-03-28,5142.93,5165.696599999999
2024-03-29,5145.42,5119.522500000004
2024-04-01,5143.5,5155.350399999999
2024-04-02,5166.45,5120.290300000002
2024-04-03,5166.77,5168.941799999999
2024-04-08,5073.04,5174.406000000004
2024-04-09,5059.57,5103.546399999995
2024-04-10,5061.4,5062.078100000003
2024-04-11,5126.98,5059.7803
2024-04-12,5119.3,5128.505699999993
2024-04-15,5161.94,5121.8420000000015
2024-04-16,5185.53,5214.528399999999
2024-04-17,5199.85,5180.934599999994
2024-04-18,5169.07,5152.8524
2024-04-19,5186.17,5151.239100000004
2024-04-22,5175.52,5191.948399999997
2024-04-23,5204.53,5167.519600000005
2024-04-24,5172.86,5185.2580999999955
2024-04-25,5181.77,5140.877699999996
2024-04-26,5155.6,5198.905299999996
2024-04-29,5157.04,5158.665100000003
2024-04-30,5140.39,5165.029999999999
2024-05-06,5102.61,5123.379700000005
2024-05-07,5080.56,5120.315800000002
2024-05-08,5092.88,5109.694600000002
2024-05-09,5091.83,5085.149699999997
2024-05-10,5068.3,5076.454199999996
2024-05-13,5067.7,5106.2206
2024-05-14,5048.54,5102.5268
2024-05-15,5023.48,5060.887899999999
2024-05-16,4994.95,4995.084200000001
2024-05-17,5011.2,5001.143299999999
2024-05-20,5010.38,4987.901999999998
2024-05-21,5000.5,4991.441599999996
2024-05-22,4993.24,4984.033199999997
2024-05-23,5026.95,4987.4032999999945
2024-05-24,5022.39,5015.692500000007
2024-05-27,4982.7,5017.117600000002
2024-05-28,4986.16,4981.310599999993
2024-05-29,4986.66,4990.049599999993
2024-05-30,5045.43,4993.601599999994
2024-05-31,5053.33,5039.877600000001
2024-06-03,5049.31,5035.762599999996
2024-06-04,5038.68,5037.823099999995
2024-06-05,5082.41,5049.487000000005
2024-06-06,5050.04,5099.749900000006
2024-06-07,5035.0,5024.925799999996
2024-06-11,5133.12,5043.211500000002
2024-06-12,5169.68,5115.989200000005
2024-06-13,5139.77,5150.743000000005
2024-06-14,5193.72,5114.590600000005
2024-06-17,5221.64,5164.380199999999
2024-06-18,5175.14,5194.289599999998
2024-06-19,5162.0,5154.5921000000035
2024-06-20,5178.24,5247.244799999995
2024-06-21,5203.93,5206.146399999997
2024-06-24,5207.25,5205.757499999995
2024-06-25,5173.58,5182.473799999993
2024-06-26,5189.02,5122.557199999992
2024-06-27,5211.34,5182.451399999996
2024-06-28,5198.0,5190.006099999993
2024-07-01,5162.87,5177.852199999997
2024-07-02,5155.36,5180.571199999995
2024-07-03,5152.06,5128.167699999998
2024-07-04,5133.1,5152.613000000003
2024-07-05,5100.7,5117.668800000003
2024-07-08,5089.78,5088.219699999998
2024-07-09,5109.97,5086.561499999995
2024-07-10,5110.01,5117.458900000001
2024-07-11,5092.73,5116.096900000001
2024-07-12,5087.95,5082.769299999996
2024-07-15,5053.74,5098.038399999998
2024-07-16,5036.52,5061.398899999998
2024-07-17,5041.99,5060.553999999999
2024-07-18,5017.31,5046.903799999999
2024-07-19,5025.71,4972.648399999998
2024-07-22,5024.3,5008.9716000000035
2024-07-23,5014.14,5002.785600000002
2024-07-24,5042.64,4991.98
2024-07-25,5088.99,5036.237799999997
2024-07-26,5072.25,5100.339400000003
2024-07-29,5051.07,5072.1092000000035
2024-07-30,5092.28,5028.317199999993
2024-07-31,5123.23,5086.120499999996
2024-08-01,5107.04,5123.595799999998
2024-08-02,5148.43,5118.9216000000015
2024-08-05,5115.92,5145.204200000005
2024-08-06,5080.86,5112.367499999997
2024-08-07,5102.0,5095.634100000006
2024-08-08,5098.97,5105.390700000004
2024-08-09,5079.18,5082.3084
2024-08-12,5055.95,5075.270399999999
2024-08-13,5040.1,5052.448100000003
2024-08-14,5009.65,5034.9407000000065
2024-08-15,5024.89,4981.496899999996
2024-08-16,5046.35,5007.4369000000015
2024-08-19,5013.85,5078.783599999999
2024-08-20,4985.88,4979.586199999998
2024-08-21,4959.77,4988.526599999995
2024-08-22,4938.74,4941.973600000007
2024-08-23,4962.31,4946.325100000002
2024-08-26,4944.99,4947.063800000007
2024-08-27,4961.67,4926.113699999999
2024-08-28,4934.43,4954.061300000007
2024-08-29,4961.73,4932.656100000003
2024-08-30,4983.53,4975.290000000003
2024-09-02,5009.39,4966.619399999995
2024-09-03,4989.98,4999.630599999996
2024-09-04,5008.95,4980.974199999996
2024-09-05,4998.05,4998.266599999997
2024-09-06,4990.84,4988.852800000001
2024-09-09,5003.15,4988.695399999994
2024-09-10,5053.71,4998.616700000002
2024-09-11,5059.33,5040.205399999999
2024-09-12,5052.12,5047.407300000001
2024-09-13,5026.73,5036.146499999995
2024-09-18,5005.81,5017.470500000007
2024-09-19,4998.71,5003.6378
2024-09-20,4999.9,4980.782200000002
2024-09-23,4993.55,4983.541599999998
2024-09-24,5040.76,4991.446999999996
2024-09-25,5024.67,5039.434899999998
2024-09-26,5045.73,5008.333700000004
2024-09-27,5055.98,5040.850699999999
2024-09-30,5068.11,5041.162300000004
2024-10-08,5179.13,5083.987800000001
2024-10-09,5156.07,5188.753099999995
2024-10-10,5154.09,5159.342700000003
2024-10-11,5188.12,5137.335700000003
2024-10-14,5195.93,5167.211599999996
2024-10-15,5187.33,5161.116
2024-10-16,5162.07,5176.025899999995
2024-10-17,5185.79,5199.7482999999975
2024-10-18,5187.35,5206.924799999997
2024-10-21,5190.41,5203.127699999998
2024-10-22,5212.23,5170.036499999995
2024-10-23,5203.0,5176.134699999991
2024-10-24,5244.09,5169.487999999996
2024-10-25,5237.48,5249.229399999999
2024-10-28,5244.65,5206.895199999996
2024-10-29,5244.97,5243.949199999999
2024-10-30,5244.08,5240.496299999997
2024-10-31,5271.47,5238.575799999997
2024-11-01,5277.62,5244.926300000001
2024-11-04,5276.77,5245.509900000001
2024-11-05,5283.04,5245.220300000002
2024-11-06,5274.31,5291.933700000006
2024-11-07,5328.78,5245.509900000001
2024-11-08,5247.8,5280.335500000005
2024-11-11,5290.42,5252.110699999997
2024-11-12,5351.94,5327.621900000003
2024-11-13,5344.19,5327.409300000002
2024-11-14,5340.86,5335.254600000001
2024-11-15,5326.41,5340.957300000001
2024-11-18,5357.53,5327.546599999997
2024-11-19,5308.33,5310.998100000001
2024-11-20,5325.81,5352.1305999999995
2024-11-21,5372.26,5342.645299999998
2024-11-22,5424.72,5357.1419000000005
2024-11-25,5423.74,5431.964200000001
2024-11-26,5404.76,5409.064900000001
2024-11-27,5412.65,5440.0665
2024-11-28,5411.86,5391.264000000001
2024-11-29,5440.93,5390.248199999999
2024-12-02,5440.38,5424.626900000003
2024-12-03,5467.69,5439.530200000005
2024-12-04,5458.7,5467.563500000003
2024-12-05,5450.3,5455.647100000005
2024-12-06,5411.07,5475.317900000004
2024-12-09,5434.26,5446.533799999994
2024-12-10,5401.85,5405.204699999998
2024-12-11,5397.64,5419.706400000001
2024-12-12,5409.42,5401.984600000002
