日期,真实汇率值,随机森林预测值
2019-07-10,688.56,688.6852000000006
2019-07-11,686.77,689.2222999999997
2019-07-12,686.62,687.2561000000007
2019-07-15,686.77,687.4988000000006
2019-07-16,687.1,687.633800000001
2019-07-17,688.27,687.2034000000004
2019-07-18,687.61,688.4826999999998
2019-07-19,686.35,687.7880000000004
2019-07-22,687.59,684.9221999999995
2019-07-23,688.18,688.1224000000007
2019-07-24,688.6,688.6097000000003
2019-07-25,687.37,689.1399000000004
2019-07-26,687.96,688.0528000000002
2019-07-29,688.21,688.9361999999994
2019-07-30,688.62,687.7187000000006
2019-07-31,688.41,689.1548000000006
2019-08-01,689.38,688.3986999999995
2019-08-02,689.96,689.6573
2019-08-05,692.25,689.7330000000002
2019-08-06,696.83,692.2652
2019-08-07,699.96,695.2773999999995
2019-08-08,700.39,698.968999999999
2019-08-09,701.36,698.9657999999991
2019-08-12,702.11,699.6659999999995
2019-08-13,703.26,699.8591999999993
2019-08-14,703.12,699.8207999999992
2019-08-15,702.68,699.8173999999992
2019-08-16,703.12,699.8587999999999
2019-08-19,703.65,700.3890999999992
2019-08-20,704.54,700.5824999999991
2019-08-21,704.33,701.0844999999991
2019-08-22,704.9,701.2394999999991
2019-08-23,705.72,702.5013999999994
2019-08-26,705.7,702.6168999999993
2019-08-27,708.1,702.5979999999995
2019-08-28,708.35,704.0861999999995
2019-08-29,708.58,704.4370999999995
2019-08-30,708.79,704.4205999999994
2019-09-02,708.83,704.8609999999996
2019-09-03,708.84,704.9699999999996
2019-09-04,708.78,704.9699999999996
2019-09-05,708.52,705.1689999999998
2019-09-06,708.55,704.8051999999998
2019-09-09,708.51,704.7628000000001
2019-09-10,708.46,705.1811000000001
2019-09-11,708.43,705.2086000000002
2019-09-12,708.46,705.2086000000002
2019-09-16,706.57,705.2086000000002
2019-09-17,707.3,703.9586
2019-09-18,707.28,704.1886
2019-09-19,707.32,704.1886
2019-09-20,707.3,704.3389999999999
2019-09-23,707.34,704.1333999999999
2019-09-24,707.29,704.3389999999999
2019-09-25,707.24,704.0493999999998
2019-09-26,707.29,704.0573999999996
2019-09-27,707.31,704.0573999999996
2019-09-30,707.29,704.0607999999996
2019-10-08,707.26,704.0573999999996
2019-10-09,707.28,704.0607999999996
2019-10-10,707.3,704.0573999999996
2019-10-11,707.27,704.0573999999996
2019-10-14,707.25,704.0573999999996
2019-10-15,707.08,704.0573999999996
2019-10-16,707.46,704.0573999999996
2019-10-17,707.89,704.2011999999995
2019-10-18,706.9,704.4592999999995
2019-10-21,706.8,703.9059999999995
2019-10-22,706.68,703.9059999999995
2019-10-23,707.52,703.9059999999995
2019-10-24,707.27,704.2011999999995
2019-10-25,707.49,704.0851999999996
2019-10-28,707.62,704.4065999999996
2019-10-29,706.17,704.1997999999996
2019-10-30,705.82,703.7549999999995
2019-10-31,705.33,703.7397999999997
2019-11-01,704.37,703.6824999999995
2019-11-04,703.82,702.8043999999994
2019-11-05,703.85,702.3822999999995
2019-11-06,700.8,702.4371999999996
2019-11-07,700.08,701.4332000000002
2019-11-08,699.45,701.5469
2019-11-11,699.33,701.5830000000002
2019-11-12,699.88,701.3747000000002
2019-11-13,700.26,700.8104999999999
2019-11-14,700.83,700.8175999999999
2019-11-15,700.91,699.7243999999997
2019-11-18,700.37,699.0839000000005
2019-11-19,700.3,699.8550999999998
2019-11-20,701.18,699.9582999999994
2019-11-21,702.17,699.7194000000004
2019-11-22,703.06,700.4635999999992
2019-11-25,703.97,700.4304999999991
2019-11-26,703.44,700.6711999999992
2019-11-27,703.49,700.3924999999991
2019-11-28,702.71,700.4869999999993
2019-11-29,702.98,700.4455999999991
2019-12-02,702.62,700.4695999999989
2019-12-03,702.23,700.5849999999988
2019-12-04,703.82,701.8053999999989
2019-12-05,705.21,700.9009999999989
2019-12-06,703.83,702.6985999999996
2019-12-09,704.05,700.8535999999989
2019-12-10,704.0,701.050299999999
2019-12-11,703.85,700.8535999999989
2019-12-12,702.53,700.845599999999
2019-12-13,701.56,701.5799999999988
2019-12-16,699.15,702.1231000000001
2019-12-17,699.71,700.8614000000001
2019-12-18,699.69,701.2069000000001
2019-12-19,700.25,700.9601000000001
2019-12-20,700.2,700.8175999999999
2019-12-23,701.17,700.0769999999995
2019-12-24,701.19,700.1779999999994
2019-12-25,700.67,700.3173000000002
2019-12-26,698.01,699.4779000000007
2019-12-27,698.79,698.6144000000005
2019-12-30,698.05,699.7256000000002
2019-12-31,697.62,698.9478000000007
2020-01-02,696.14,697.8118000000006
2020-01-03,696.81,694.8322999999998
2020-01-06,697.18,695.8756000000001
2020-01-07,696.9,696.1025000000003
2020-01-08,694.5,695.3230999999998
2020-01-09,694.97,694.1452000000011
2020-01-10,693.51,694.122
2020-01-13,692.63,694.0928000000002
2020-01-14,689.54,692.8571999999996
2020-01-15,688.45,688.8277000000002
2020-01-16,688.07,689.2516
2020-01-17,688.78,688.9054000000001
2020-01-20,686.64,688.6073000000002
2020-01-21,686.06,687.9794999999999
2020-01-22,688.53,687.2916000000001
2020-01-23,688.76,687.9952000000003
2020-02-03,692.49,689.2885999999999
2020-02-04,697.79,693.1970000000005
2020-02-05,698.23,696.7336
2020-02-06,699.85,698.8861000000004
2020-02-07,697.68,699.3919999999995
2020-02-10,698.63,696.6936000000002
2020-02-11,698.97,698.9512000000004
2020-02-12,697.18,698.6959000000005
2020-02-13,697.85,696.1005000000004
2020-02-14,698.43,697.0601000000007
2020-02-17,697.95,699.2970000000003
2020-02-18,698.26,697.0601000000007
2020-02-19,700.12,699.0708000000004
2020-02-20,700.26,699.1688999999994
2020-02-21,702.1,698.9827999999991
2020-02-24,702.46,699.8591999999993
2020-02-25,702.32,699.844699999999
2020-02-26,701.26,699.8599999999991
2020-02-27,702.15,699.6155999999994
2020-02-28,700.66,699.8652000000001
2020-03-02,698.11,699.6331999999998
2020-03-03,695.16,699.5343000000003
2020-03-04,695.14,693.9830000000001
2020-03-05,694.03,693.9830000000001
2020-03-06,693.37,694.4957000000002
2020-03-09,692.6,694.0969000000001
2020-03-10,693.89,692.7523999999996
2020-03-11,696.12,693.5792999999995
2020-03-12,696.41,694.3714999999996
2020-03-13,700.33,694.8295999999993
2020-03-16,700.18,698.9757999999991
2020-03-17,700.94,699.0216999999991
2020-03-18,703.28,699.1679999999993
2020-03-19,705.22,699.8207999999992
2020-03-20,710.52,702.0375999999995
2020-03-23,709.4,705.0237999999997
2020-03-24,709.99,703.9450999999998
2020-03-25,707.42,704.5817000000002
2020-03-26,706.92,703.0271999999995
2020-03-27,704.27,702.8612999999995
2020-03-30,704.47,702.9240999999993
2020-03-31,708.51,704.4607000000001
2020-04-01,707.71,706.1321000000003
2020-04-02,709.95,706.2380000000002
2020-04-03,711.04,706.0977999999999
2020-04-07,709.39,706.8130999999998
2020-04-08,704.83,705.1660999999997
2020-04-09,705.36,703.5722999999994
2020-04-10,703.54,703.8036000000002
2020-04-13,703.0,702.2637999999996
2020-04-14,704.06,703.3086000000003
2020-04-15,704.02,705.1660999999999
2020-04-16,707.14,703.6669
2020-04-17,707.18,704.0301999999996
2020-04-20,706.57,704.1381999999995
2020-04-21,707.52,702.9227999999996
2020-04-22,709.03,703.1111999999995
2020-04-23,708.87,704.7552999999996
2020-04-24,708.03,704.6759999999995
2020-04-27,707.03,704.4592999999995
2020-04-28,707.1,703.9705999999995
2020-04-29,707.04,704.0493999999998
2020-04-30,705.71,703.9983999999995
2020-05-06,706.9,704.3229000000002
2020-05-07,709.31,704.3178000000001
2020-05-08,707.88,705.6401999999997
2020-05-11,707.69,704.3863999999998
2020-05-12,709.19,704.3635999999996
2020-05-13,708.75,704.8757999999997
2020-05-14,709.48,704.6061999999995
2020-05-15,709.36,705.3146999999999
2020-05-18,710.3,707.1631000000002
2020-05-19,709.12,707.2063999999998
2020-05-20,709.56,705.0482999999997
2020-05-21,708.68,707.1127000000004
2020-05-22,709.39,704.7628000000001
2020-05-25,712.09,707.2261000000003
2020-05-26,712.93,709.4451000000008
2020-05-27,710.92,709.9097000000008
2020-05-28,712.77,708.4971000000005
2020-05-29,713.16,709.7131000000008
2020-06-01,713.15,707.6291000000003
2020-06-02,711.67,709.7145000000007
2020-06-03,710.74,710.6078000000007
2020-06-04,710.12,710.4009000000001
2020-06-05,709.65,709.9637000000004
2020-06-08,708.82,709.3780000000003
2020-06-09,707.11,708.5702000000003
2020-06-10,707.03,707.6874
2020-06-11,706.08,707.207
2020-06-12,708.65,705.8781999999999
2020-06-15,709.02,706.3602000000003
2020-06-16,707.55,706.6578000000003
2020-06-17,708.73,704.7968000000001
2020-06-18,709.03,704.5243999999996
2020-06-19,709.13,704.8757999999997
2020-06-22,708.65,704.9301999999996
2020-06-23,706.71,704.7628000000001
2020-06-24,705.55,704.5040000000002
2020-06-29,708.08,703.7332999999995
2020-06-30,707.95,704.7032
2020-07-01,707.1,705.4263000000002
2020-07-02,705.66,704.8044000000002
2020-07-03,706.38,703.8631
2020-07-06,706.63,703.8345999999997
2020-07-07,703.1,703.9631999999995
2020-07-08,702.07,702.1973999999998
2020-07-09,700.85,702.1743999999999
2020-07-10,699.43,701.3533000000003
2020-07-13,699.65,701.5676000000001
2020-07-14,699.96,701.3619000000003
2020-07-15,699.82,701.3719000000003
2020-07-16,699.13,699.8710999999998
2020-07-17,700.43,699.8519
2020-07-20,699.28,699.6291999999995
