日期,真实汇率值,随机森林预测值
2022-02-17,860.45,857.7207
2022-02-18,862.52,860.9477000000007
2022-02-21,861.54,861.4714000000002
2022-02-22,862.71,861.2732000000003
2022-02-23,860.46,862.7111000000001
2022-02-24,856.99,860.8803
2022-02-25,847.42,857.6228000000013
2022-02-28,844.32,845.032499999999
2022-03-01,844.66,842.4102000000006
2022-03-02,844.28,843.5376000000007
2022-03-03,843.46,842.3343000000007
2022-03-04,843.85,840.5092000000009
2022-03-07,838.39,845.5861000000006
2022-03-08,828.54,839.8325000000001
2022-03-09,826.95,828.4226
2022-03-10,830.77,829.4489000000008
2022-03-11,828.77,843.3790999999999
2022-03-14,826.36,828.1957999999998
2022-03-15,828.04,829.2620000000009
2022-03-16,831.93,826.9197999999993
2022-03-17,832.4,843.6813000000002
2022-03-18,834.05,844.4337000000003
2022-03-21,838.12,843.6364000000003
2022-03-22,838.07,842.1084999999999
2022-03-23,842.97,840.9669000000005
2022-03-24,840.35,846.3819000000004
2022-03-25,841.03,845.0488999999995
2022-03-28,839.42,844.3937
2022-03-29,833.85,844.6054999999996
2022-03-30,832.23,844.4000000000001
2022-03-31,833.78,844.3573000000001
2022-04-01,834.64,844.0951000000003
2022-04-06,834.25,844.9177000000004
2022-04-07,832.01,845.0559000000004
2022-04-08,831.97,843.9926
2022-04-11,829.81,843.7770000000002
2022-04-12,830.86,830.2587999999997
2022-04-13,828.62,842.8572999999998
2022-04-14,833.55,826.5916999999989
2022-04-15,834.55,843.9748000000003
2022-04-18,832.14,844.5087000000004
2022-04-19,828.75,843.7041000000002
2022-04-20,831.1,826.5307999999989
2022-04-21,837.37,842.7843999999998
2022-04-22,842.22,840.9631000000002
2022-04-25,832.69,844.8623000000007
2022-04-26,835.88,843.4181000000001
2022-04-27,825.37,844.7223000000002
2022-04-28,823.36,828.2022999999997
2022-04-29,825.35,828.8465000000001
2022-05-05,828.42,828.1574000000002
2022-05-06,820.96,828.4981999999999
2022-05-09,825.2,826.873300000001
2022-05-10,827.9,828.3869000000002
2022-05-11,828.62,826.6761999999997
2022-05-12,823.64,826.4559999999993
2022-05-13,829.66,828.3796999999996
2022-05-16,831.79,830.2878999999998
2022-05-17,836.52,843.3507
2022-05-18,841.68,844.9341000000007
2022-05-19,834.16,844.9269000000006
2022-05-20,841.25,844.4155000000003
2022-05-23,835.25,842.1781999999996
2022-05-24,836.59,844.8709000000003
2022-05-25,834.73,845.8172000000003
