日期,真实汇率值,随机森林预测值
2024-02-29,51.552,51.74060000000003
2024-03-01,51.58,51.48952000000002
2024-03-04,51.573,51.52975999999994
2024-03-05,51.58,51.60464000000004
2024-03-06,51.588,51.59176000000004
2024-03-07,51.642,51.56117999999998
2024-03-08,51.673,51.59539999999999
2024-03-11,51.647,51.61897000000001
2024-03-12,51.64,51.60167999999999
2024-03-13,51.619,51.59881999999999
2024-03-14,51.66,51.609710000000035
2024-03-15,51.549,51.613820000000004
2024-03-18,51.559,51.45737999999996
2024-03-19,51.597,51.58130000000006
2024-03-20,51.545,51.53050000000003
2024-03-21,51.681,51.46922999999996
2024-03-22,51.586,51.63455
2024-03-25,51.483,51.49651
2024-03-26,51.589,51.51546000000004
2024-03-27,51.585,51.59425999999997
2024-03-28,51.553,51.48402999999994
2024-03-29,51.564,51.54834000000005
2024-04-01,51.592,51.626920000000034
2024-04-02,51.535,51.56696999999998
2024-04-03,51.583,51.558170000000054
2024-04-08,51.617,51.549459999999954
2024-04-09,51.599,51.59625000000001
2024-04-10,51.57,51.60497999999998
2024-04-11,51.475,51.74705000000004
2024-04-12,51.535,51.531010000000016
2024-04-15,51.463,51.560480000000055
2024-04-16,51.478,51.548189999999956
2024-04-17,51.465,51.53297
2024-04-18,51.583,51.56371999999995
2024-04-19,51.518,51.566429999999976
2024-04-22,51.514,51.584309999999995
2024-04-23,51.493,51.59151999999999
2024-04-24,51.553,51.54911000000002
2024-04-25,51.498,51.546110000000056
2024-04-26,51.515,51.57734000000002
2024-04-29,51.461,51.58432
2024-04-30,51.523,51.5119
2024-05-06,51.636,51.59317
2024-05-07,51.574,51.60780000000002
2024-05-08,51.537,51.62649000000002
2024-05-09,51.53,51.570100000000046
2024-05-10,51.585,51.56787000000004
2024-05-13,51.538,51.58053000000004
2024-05-14,51.546,51.578490000000066
2024-05-15,51.534,51.46856999999998
2024-05-16,51.663,51.47777000000005
2024-05-17,51.589,51.64715000000002
2024-05-20,51.547,51.65998999999998
2024-05-21,51.508,51.49827000000004
2024-05-22,51.493,51.586619999999996
2024-05-23,51.46,51.564960000000035
2024-05-24,51.447,51.50664999999999
2024-05-27,51.516,51.52296999999999
2024-05-28,51.541,51.57293
2024-05-29,51.473,51.55964000000007
2024-05-30,51.387,51.509480000000025
2024-05-31,51.49,51.37247000000003
2024-06-03,51.495,51.48139000000001
2024-06-04,51.559,51.56479000000002
2024-06-05,51.477,51.59525000000007
2024-06-06,51.476,51.50771000000002
2024-06-07,51.489,51.509670000000014
2024-06-11,51.393,51.46578
2024-06-12,51.4,51.34879000000003
2024-06-13,51.493,51.33791000000003
2024-06-14,51.4,51.563830000000046
2024-06-17,51.372,51.33650000000003
2024-06-18,51.415,51.35588000000003
2024-06-19,51.482,51.378930000000025
2024-06-20,51.453,51.48095000000002
2024-06-21,51.366,51.463769999999975
2024-06-24,51.351,51.31772000000001
2024-06-25,51.444,51.277440000000006
2024-06-26,51.366,51.46739999999996
2024-06-27,51.305,51.308650000000014
2024-06-28,51.381,51.29762999999997
2024-07-01,51.434,51.37024000000003
2024-07-02,51.326,51.47276999999996
2024-07-03,51.35,51.29250999999999
2024-07-04,51.363,51.28363000000001
2024-07-05,51.36,51.29505000000001
2024-07-08,51.376,51.28029000000003
2024-07-09,51.352,51.364090000000004
2024-07-10,51.301,51.28228000000001
2024-07-11,51.214,51.271579999999986
2024-07-12,51.43,51.175269999999934
2024-07-15,51.344,51.46793999999997
2024-07-16,51.321,51.27771000000001
2024-07-17,51.318,51.30616999999997
2024-07-18,51.408,51.309069999999984
2024-07-19,51.287,51.34466000000003
2024-07-22,51.301,51.29149000000004
2024-07-23,51.296,51.286539999999974
2024-07-24,51.296,51.318979999999975
2024-07-25,51.332,51.30260999999998
2024-07-26,51.39,51.28717
2024-07-29,51.366,51.36114000000002
2024-07-30,51.319,51.315880000000035
2024-07-31,51.352,51.30591
2024-08-01,51.447,51.27915000000003
2024-08-02,51.333,51.43992999999997
2024-08-05,51.487,51.28081
2024-08-06,51.52,51.48550000000001
2024-08-07,51.443,51.533429999999996
2024-08-08,51.381,51.44834999999996
2024-08-09,51.365,51.36224000000003
2024-08-12,51.386,51.31807000000001
2024-08-13,51.337,51.35282000000004
2024-08-14,51.432,51.297689999999996
2024-08-15,51.439,51.49629000000002
2024-08-16,51.373,51.499079999999985
2024-08-19,51.448,51.35470000000001
2024-08-20,51.524,51.45639999999997
2024-08-21,51.522,51.559749999999994
2024-08-22,51.556,51.495500000000014
2024-08-23,51.467,51.52256000000004
2024-08-26,51.66,51.516899999999985
2024-08-27,51.576,51.63226999999999
2024-08-28,51.577,51.539320000000046
2024-08-29,51.519,51.62226000000003
2024-08-30,51.641,51.59152999999999
2024-09-02,51.735,51.60408999999998
2024-09-03,51.664,51.72895999999996
2024-09-04,51.634,51.62203999999997
2024-09-05,51.744,51.58541000000003
2024-09-06,51.791,51.74687
2024-09-09,51.743,51.81565999999998
2024-09-10,51.628,51.787209999999995
2024-09-11,51.594,51.62278000000001
2024-09-12,51.579,51.59050999999999
2024-09-13,51.719,51.50356999999998
2024-09-18,51.828,51.695779999999985
2024-09-19,51.74,51.84266999999994
2024-09-20,51.986,51.75874999999999
2024-09-23,52.076,51.925969999999964
2024-09-24,52.087,52.11229
2024-09-25,52.324,52.08599000000002
2024-09-26,52.204,52.37658000000004
2024-09-27,52.396,52.22397000000005
2024-09-30,52.41,52.44342999999998
2024-10-08,51.948,52.46437999999999
2024-10-09,52.041,52.00215999999995
2024-10-10,51.917,51.97783999999999
2024-10-11,51.926,51.90938999999996
2024-10-14,51.935,51.944829999999946
2024-10-15,51.857,51.96506999999993
2024-10-16,51.581,51.82803000000003
2024-10-17,51.575,51.50281999999999
2024-10-18,51.534,51.50198000000004
2024-10-21,51.744,51.49776
2024-10-22,51.571,51.763950000000044
2024-10-23,51.556,51.58900000000004
2024-10-24,51.524,51.54576000000001
2024-10-25,51.666,51.563200000000045
2024-10-28,51.514,51.604519999999994
2024-10-29,51.522,51.60061999999999
2024-10-30,51.514,51.557140000000025
2024-10-31,51.543,51.5741
2024-11-01,51.634,51.54776000000005
2024-11-04,51.581,51.656740000000056
2024-11-05,51.713,51.54274999999998
2024-11-06,51.743,51.79555999999995
2024-11-07,51.277,51.77272999999994
2024-11-08,51.431,51.18400999999999
2024-11-11,51.184,51.48487000000002
2024-11-12,51.073,51.210489999999936
2024-11-13,50.742,51.28611999999999
2024-11-14,50.817,50.812379999999976
2024-11-15,50.734,50.784479999999995
2024-11-18,50.852,50.77433000000003
2024-11-19,50.874,50.963259999999984
2024-11-20,50.815,50.849179999999976
2024-11-21,50.798,50.888610000000014
2024-11-22,50.801,50.96176999999999
2024-11-25,50.803,50.96833999999998
2024-11-26,50.888,50.94267
2024-11-27,50.802,50.83798000000002
2024-11-28,50.907,50.85696000000001
2024-11-29,50.953,50.91362000000001
2024-12-02,50.962,50.891230000000014
2024-12-03,50.84,50.943220000000025
