日期,真实汇率值,随机森林预测值
2024-02-05,18593.0,18652.44
2024-02-06,18593.0,18612.6
2024-02-07,18550.0,18613.7
2024-02-08,18569.0,18531.38
2024-02-09,18585.0,18593.54
2024-02-19,18626.0,18558.04
2024-02-20,18674.0,18637.81
2024-02-21,18679.0,18650.54
2024-02-22,18662.0,18644.0
2024-02-23,18582.0,18639.39
2024-02-26,18607.0,18599.31
2024-02-27,18631.0,18552.18
2024-02-28,18631.0,18656.51
2024-02-29,18656.0,18643.23
2024-03-01,18654.0,18694.44
2024-03-04,18634.0,18690.53
2024-03-05,18624.0,18622.81
2024-03-06,18681.0,18625.36
2024-03-07,18618.0,18639.28
2024-03-08,18548.0,18594.41
2024-03-11,18450.0,18527.94
2024-03-12,18368.0,18333.44
2024-03-13,18370.0,18323.49
2024-03-14,18408.0,18325.76
2024-03-15,18487.0,18354.1
2024-03-18,18600.0,18473.01
2024-03-19,18675.0,18588.55
2024-03-20,18699.0,18667.23
2024-03-21,18646.0,18752.34
2024-03-22,18578.0,18666.66
2024-03-25,18679.0,18622.31
2024-03-26,18696.0,18669.7
2024-03-27,18732.0,18710.0
2024-03-28,18818.0,18707.06
2024-03-29,18806.0,18822.4
2024-04-01,18799.0,18756.47
2024-04-02,18845.0,18851.96
2024-04-03,18830.0,18847.26
2024-04-08,18875.0,18870.06
2024-04-09,18902.0,18906.59
2024-04-10,18880.0,18857.92
2024-04-11,18944.0,18882.76
2024-04-12,19036.0,18893.81
2024-04-15,19165.0,19089.55
2024-04-16,19280.0,19167.03
2024-04-17,19316.0,19190.66
2024-04-18,19208.0,19327.8
2024-04-19,19193.0,19254.02
2024-04-22,19191.0,19166.52
2024-04-23,19208.0,19166.62
2024-04-24,19141.0,19255.08
2024-04-25,19146.0,19140.34
2024-04-26,19135.0,19187.71
2024-04-29,19172.0,19088.21
2024-04-30,19165.0,19227.89
2024-05-06,19016.0,19211.57
2024-05-07,18954.0,19069.91
2024-05-08,19010.0,18841.65
